institution_id,willingness_constraint_score,digital_usage_constraint_score,training_deficit_score,device_constraint,digital_tool_variety_constraint,internet_stability_constraint,staffing_constraint_score,time_constraint_score,administrative_disorganization_constraint,recording_system_constraint,system_change_resistance_constraint,admin_time_load_constraint,resource_constraint_score
INST_001,-1.1036759497509456,2.5028873790458825,-0.3815446900287743,2.3071161241096174,2.305483514859332,2.5664305469130984,-1.092762977734834,-1.7995972717947264,-1.4117243774837525,1.545055564024002,-1.788300242573453,-1.9500337378997752,1.5254086854853064
INST_002,-0.3054817360917796,-0.7322276906783167,0.45372882057475894,-0.9148908768020894,-0.19555440527824652,1.6855793846251281,0.8314500917547647,0.5641980635896982,0.04495937507910044,-1.2155951864012373,0.6807733877978488,1.1470786693528088,0.8273403039920305
INST_003,0.49271247756738656,1.4245156891378161,0.45372882057475894,1.2331137904723817,0.6381249014342794,-0.07612293995081218,1.793556626499564,0.5641980635896982,0.04495937507910044,1.545055564024002,0.6807733877978488,0.1147078669352807,0.12927192249875472
INST_004,0.49271247756738656,1.4245156891378161,0.45372882057475894,0.1591114568351462,-0.19555440527824652,-0.07612293995081218,0.8314500917547647,1.352129842051173,0.7733012513605269,-0.29537826959282415,0.6807733877978488,1.1470786693528088,0.12927192249875472
INST_005,0.49271247756738656,1.4245156891378161,-0.3815446900287743,0.1591114568351462,0.6381249014342794,-0.07612293995081218,0.8314500917547647,1.352129842051173,0.04495937507910044,0.6248386472155889,-0.14225115565925187,1.1470786693528088,0.12927192249875472
INST_006,1.2909066912265528,0.3461439992297497,1.289002331178292,0.1591114568351462,-0.19555440527824652,-0.07612293995081218,-0.13065644299003462,0.5641980635896982,1.5016431276419535,-0.29537826959282415,1.5037979312549494,1.1470786693528088,-0.568796458994521
INST_007,-1.1036759497509456,1.4245156891378161,0.45372882057475894,0.1591114568351462,-0.19555440527824652,0.804728222337158,0.8314500917547647,-0.22373371487177676,0.04495937507910044,0.6248386472155889,0.6807733877978488,-0.9176629354822472,1.5254086854853064
INST_008,-1.1036759497509456,-0.7322276906783167,1.289002331178292,-0.9148908768020894,-0.19555440527824652,-0.9569741022387824,-1.092762977734834,-1.0116654933332516,0.04495937507910044,-0.29537826959282415,-0.14225115565925187,-0.9176629354822472,-1.266864840487797
INST_009,0.49271247756738656,-0.7322276906783167,-2.0520917112358408,-0.9148908768020894,-1.0292337119907726,0.804728222337158,-1.092762977734834,-0.22373371487177676,0.04495937507910044,0.6248386472155889,-0.14225115565925187,-1.9500337378997752,0.12927192249875472
INST_010,-0.3054817360917796,-0.7322276906783167,0.45372882057475894,-0.9148908768020894,0.6381249014342794,-0.07612293995081218,-0.13065644299003462,0.5641980635896982,-0.683382501202326,-0.29537826959282415,0.6807733877978488,1.1470786693528088,0.8273403039920305
INST_011,1.2909066912265528,-0.7322276906783167,1.289002331178292,-0.9148908768020894,-1.0292337119907726,-0.9569741022387824,-0.13065644299003462,-0.22373371487177676,1.5016431276419535,-1.2155951864012373,1.5037979312549494,0.1147078669352807,-0.568796458994521
INST_012,2.089100904885719,-0.7322276906783167,1.289002331178292,0.1591114568351462,-0.19555440527824652,-0.9569741022387824,-0.13065644299003462,-0.22373371487177676,1.5016431276419535,0.6248386472155889,1.5037979312549494,0.1147078669352807,-0.568796458994521
INST_013,-0.3054817360917796,-0.7322276906783167,-1.2168182006323076,0.1591114568351462,-0.19555440527824652,-0.07612293995081218,0.8314500917547647,1.352129842051173,-0.683382501202326,-0.29537826959282415,-0.9652756991163525,1.1470786693528088,0.12927192249875472
INST_014,-0.3054817360917796,-0.7322276906783167,-0.3815446900287743,-0.9148908768020894,-1.0292337119907726,-0.9569741022387824,0.8314500917547647,1.352129842051173,0.7733012513605269,-1.2155951864012373,-0.14225115565925187,1.1470786693528088,-1.266864840487797
INST_015,0.49271247756738656,-0.7322276906783167,-0.3815446900287743,-0.9148908768020894,-1.0292337119907726,-0.9569741022387824,-1.092762977734834,-1.7995972717947264,-1.4117243774837525,-1.2155951864012373,-0.9652756991163525,-1.9500337378997752,-1.266864840487797
INST_016,-0.3054817360917796,-0.7322276906783167,-0.3815446900287743,-0.9148908768020894,-1.0292337119907726,-0.9569741022387824,1.793556626499564,1.352129842051173,0.7733012513605269,-1.2155951864012373,-0.14225115565925187,1.1470786693528088,-1.266864840487797
INST_017,1.2909066912265528,-0.7322276906783167,1.289002331178292,-0.9148908768020894,-1.0292337119907726,-0.9569741022387824,-1.092762977734834,-1.0116654933332516,0.04495937507910044,-1.2155951864012373,1.5037979312549494,-0.9176629354822472,-1.266864840487797
INST_018,-1.1036759497509456,-0.7322276906783167,-1.2168182006323076,-0.9148908768020894,-1.0292337119907726,-0.9569741022387824,-1.092762977734834,-1.7995972717947264,-1.4117243774837525,-1.2155951864012373,-0.9652756991163525,-1.9500337378997752,-1.266864840487797
INST_019,-0.3054817360917796,0.3461439992297497,-1.2168182006323076,0.1591114568351462,0.6381249014342794,-0.07612293995081218,-1.092762977734834,-0.22373371487177676,1.5016431276419535,0.6248386472155889,-0.9652756991163525,0.1147078669352807,0.8273403039920305
INST_020,-0.3054817360917796,-0.7322276906783167,1.289002331178292,0.1591114568351462,0.6381249014342794,-0.9569741022387824,-1.092762977734834,-1.0116654933332516,0.04495937507910044,0.6248386472155889,0.6807733877978488,-0.9176629354822472,-1.266864840487797
INST_021,-0.3054817360917796,-0.7322276906783167,0.45372882057475894,-0.9148908768020894,-1.0292337119907726,-0.9569741022387824,0.8314500917547647,0.5641980635896982,0.04495937507910044,-0.29537826959282415,-0.14225115565925187,1.1470786693528088,1.5254086854853064
