profile,n_institutions,metric,k_neighbors,threshold_percentile,mean_knn_distance_min,mean_knn_distance_median,mean_knn_distance_max,plausibility_threshold
1,68,EUCLIDEAN_ORIGINAL_NORMALIZED_13D,5,0.95,0.26584741032697756,0.6493634954765324,1.1554167618418525,0.9603925174363498
2,13,EUCLIDEAN_ORIGINAL_NORMALIZED_13D,5,0.95,0.4745019794399795,0.6281674601130866,0.8266161249117031,0.8006310168714027
