institution_id,profile,within_profile_mean_5nn_distance
INST_002,1,0.8308036850748411
INST_003,1,0.7390826446286367
INST_004,1,0.45786146730655075
INST_005,1,0.6188576607154486
INST_006,1,0.5865455572848534
INST_007,1,1.0337451597650518
INST_008,1,0.6009455116106887
INST_009,1,1.1093843130010748
INST_010,1,0.661544878545342
INST_011,1,0.37268447190795073
INST_012,1,0.5821604013505183
INST_013,1,0.6223416423165921
INST_014,1,0.5147792084900746
INST_015,1,0.5866569332556372
INST_016,1,0.48447853403878194
INST_017,1,0.5644237381129569
INST_018,1,0.26584741032697756
INST_019,1,0.776343387097066
INST_020,1,0.8612994436121417
INST_021,1,0.7911198536864991
INST_023,1,0.8551293454867619
INST_024,1,0.47722315331733095
INST_025,1,0.8265511936670883
INST_026,1,0.6291124030421642
INST_028,1,0.7574558571509521
INST_029,1,0.7250761491879224
INST_030,1,0.9335104372909644
INST_031,1,0.40726876656428707
INST_032,1,0.7296566594114017
INST_033,1,0.9499515668690108
INST_035,1,0.44339515002660546
INST_038,1,0.5071222651799899
INST_040,1,0.6920108038595665
INST_042,1,0.752572042885814
INST_043,1,0.7882401860001251
INST_044,1,0.26584741032697756
INST_045,1,0.9036346202368385
INST_046,1,0.6550247081274845
INST_047,1,0.7552193600334668
INST_048,1,0.46367261576854724
INST_049,1,0.5269313917883044
INST_050,1,0.591721702192203
INST_052,1,0.26584741032697756
INST_053,1,0.6502644303539965
INST_055,1,0.49389902262999713
INST_056,1,0.5295929165693986
INST_057,1,0.623401477990397
INST_058,1,0.6625380754082273
INST_059,1,0.5229181545864948
INST_060,1,0.5644237381129569
INST_061,1,0.6719197998816503
INST_062,1,0.96601456774184
INST_063,1,0.46951132143876995
INST_064,1,0.730628536383819
INST_066,1,0.730628536383819
INST_067,1,0.6988902134766911
INST_068,1,0.40421928327835427
INST_069,1,0.6797612745836347
INST_070,1,0.900904735010821
INST_072,1,1.1554167618418525
INST_073,1,0.8480182371946539
INST_075,1,0.3811731019745106
INST_076,1,0.5759906360794906
INST_077,1,0.8279582531814113
INST_078,1,0.6484625605990681
INST_079,1,0.37268447190795073
INST_080,1,0.9045310868596343
INST_081,1,0.40421928327835427
INST_001,2,0.6461987780759484
INST_022,2,0.4745019794399795
INST_027,2,0.8266161249117031
INST_034,2,0.49732790327974674
INST_036,2,0.7833076115112025
INST_037,2,0.6711751959038991
INST_039,2,0.6281674601130866
INST_041,2,0.5013825223993238
INST_051,2,0.6013087723123979
INST_054,2,0.6299937565265711
INST_065,2,0.6636826960588768
INST_071,2,0.6032346778142627
INST_074,2,0.6171280717535736
