candidate_id,iteration,reference_cluster,matched_resample_cluster,jaccard
R0_STANDARDIZED__GMM_DIAG__K2,38,0,1,0.6909090909090909
R0_STANDARDIZED__GMM_DIAG__K2,38,1,0,0.37037037037037035
R0_STANDARDIZED__GMM_DIAG__K2,39,0,0,0.6981132075471698
R0_STANDARDIZED__GMM_DIAG__K2,39,1,1,0.42857142857142855
R0_STANDARDIZED__GMM_DIAG__K2,40,0,1,0.7368421052631579
R0_STANDARDIZED__GMM_DIAG__K2,40,1,0,0.34782608695652173
R0_STANDARDIZED__GMM_DIAG__K2,41,0,1,0.43636363636363634
R0_STANDARDIZED__GMM_DIAG__K2,41,1,0,0.24390243902439024
R0_STANDARDIZED__GMM_DIAG__K2,42,0,1,0.7407407407407407
R0_STANDARDIZED__GMM_DIAG__K2,42,1,0,0.44
R0_STANDARDIZED__GMM_DIAG__K2,43,0,0,0.7142857142857143
R0_STANDARDIZED__GMM_DIAG__K2,43,1,1,0.36
R0_STANDARDIZED__GMM_DIAG__K2,44,0,0,0.3888888888888889
R0_STANDARDIZED__GMM_DIAG__K2,44,1,1,0.25
R0_STANDARDIZED__GMM_DIAG__K2,45,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,45,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,46,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,46,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,47,0,1,0.4528301886792453
R0_STANDARDIZED__GMM_DIAG__K2,47,1,0,0.2926829268292683
R0_STANDARDIZED__GMM_DIAG__K2,48,0,0,0.9818181818181818
R0_STANDARDIZED__GMM_DIAG__K2,48,1,1,0.9090909090909091
R0_STANDARDIZED__GMM_DIAG__K2,49,0,1,0.48148148148148145
R0_STANDARDIZED__GMM_DIAG__K2,49,1,0,0.28205128205128205
R0_STANDARDIZED__GMM_DIAG__K2,50,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,50,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,51,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,51,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,52,0,0,0.7358490566037735
R0_STANDARDIZED__GMM_DIAG__K2,52,1,1,0.46153846153846156
R0_STANDARDIZED__GMM_DIAG__K2,53,0,1,0.7358490566037735
R0_STANDARDIZED__GMM_DIAG__K2,53,1,0,0.46153846153846156
R0_STANDARDIZED__GMM_DIAG__K2,54,0,0,0.9622641509433962
R0_STANDARDIZED__GMM_DIAG__K2,54,1,1,0.8571428571428571
R0_STANDARDIZED__GMM_DIAG__K2,55,0,1,0.9821428571428571
R0_STANDARDIZED__GMM_DIAG__K2,55,1,0,0.9
R0_STANDARDIZED__GMM_DIAG__K2,56,0,1,0.5471698113207547
R0_STANDARDIZED__GMM_DIAG__K2,56,1,0,0.3333333333333333
R0_STANDARDIZED__GMM_DIAG__K2,57,0,0,0.7115384615384616
R0_STANDARDIZED__GMM_DIAG__K2,57,1,1,0.4642857142857143
R0_STANDARDIZED__GMM_DIAG__K2,58,0,1,0.41509433962264153
R0_STANDARDIZED__GMM_DIAG__K2,58,1,0,0.27906976744186046
R0_STANDARDIZED__GMM_DIAG__K2,59,0,1,0.6981132075471698
R0_STANDARDIZED__GMM_DIAG__K2,59,1,0,0.42857142857142855
R0_STANDARDIZED__GMM_DIAG__K2,60,0,0,0.9821428571428571
R0_STANDARDIZED__GMM_DIAG__K2,60,1,1,0.9
R0_STANDARDIZED__GMM_DIAG__K2,61,0,0,0.6981132075471698
R0_STANDARDIZED__GMM_DIAG__K2,61,1,1,0.42857142857142855
R0_STANDARDIZED__GMM_DIAG__K2,62,0,1,0.43636363636363634
R0_STANDARDIZED__GMM_DIAG__K2,62,1,0,0.24390243902439024
R0_STANDARDIZED__GMM_DIAG__K2,63,0,0,0.676923076923077
R0_STANDARDIZED__GMM_DIAG__K2,63,1,1,0.0
R0_STANDARDIZED__GMM_DIAG__K2,64,0,1,0.9811320754716981
R0_STANDARDIZED__GMM_DIAG__K2,64,1,0,0.9230769230769231
R0_STANDARDIZED__GMM_DIAG__K2,65,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,65,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,66,0,1,0.5614035087719298
R0_STANDARDIZED__GMM_DIAG__K2,66,1,0,0.24242424242424243
R0_STANDARDIZED__GMM_DIAG__K2,67,0,0,0.6964285714285714
R0_STANDARDIZED__GMM_DIAG__K2,67,1,1,0.34615384615384615
R0_STANDARDIZED__GMM_DIAG__K2,68,0,1,0.5094339622641509
R0_STANDARDIZED__GMM_DIAG__K2,68,1,0,0.3157894736842105
R0_STANDARDIZED__GMM_DIAG__K2,69,0,0,0.45614035087719296
R0_STANDARDIZED__GMM_DIAG__K2,69,1,1,0.20512820512820512
R0_STANDARDIZED__GMM_DIAG__K2,70,0,1,0.5740740740740741
R0_STANDARDIZED__GMM_DIAG__K2,70,1,0,0.3235294117647059
R0_STANDARDIZED__GMM_DIAG__K2,71,0,0,0.6923076923076923
R0_STANDARDIZED__GMM_DIAG__K2,71,1,1,0.0
R0_STANDARDIZED__GMM_DIAG__K2,72,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,72,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,73,0,0,0.5471698113207547
R0_STANDARDIZED__GMM_DIAG__K2,73,1,1,0.3333333333333333
R0_STANDARDIZED__GMM_DIAG__K2,74,0,1,0.7090909090909091
R0_STANDARDIZED__GMM_DIAG__K2,74,1,0,0.38461538461538464
R0_STANDARDIZED__GMM_DIAG__K2,75,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,75,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,76,0,1,0.7169811320754716
R0_STANDARDIZED__GMM_DIAG__K2,76,1,0,0.4444444444444444
R0_STANDARDIZED__GMM_DIAG__K2,77,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,77,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,78,0,0,0.4107142857142857
R0_STANDARDIZED__GMM_DIAG__K2,78,1,1,0.21428571428571427
R0_STANDARDIZED__GMM_DIAG__K2,79,0,1,0.7037037037037037
R0_STANDARDIZED__GMM_DIAG__K2,79,1,0,0.4074074074074074
R0_STANDARDIZED__GMM_DIAG__K2,80,0,1,0.5925925925925926
R0_STANDARDIZED__GMM_DIAG__K2,80,1,0,0.3333333333333333
R0_STANDARDIZED__GMM_DIAG__K2,81,0,0,0.5185185185185185
R0_STANDARDIZED__GMM_DIAG__K2,81,1,1,0.2972972972972973
R0_STANDARDIZED__GMM_DIAG__K2,82,0,1,0.7037037037037037
R0_STANDARDIZED__GMM_DIAG__K2,82,1,0,0.4074074074074074
R0_STANDARDIZED__GMM_DIAG__K2,83,0,0,0.7115384615384616
R0_STANDARDIZED__GMM_DIAG__K2,83,1,1,0.4642857142857143
R0_STANDARDIZED__GMM_DIAG__K2,84,0,0,0.9814814814814815
R0_STANDARDIZED__GMM_DIAG__K2,84,1,1,0.9166666666666666
R0_STANDARDIZED__GMM_DIAG__K2,85,0,1,0.5370370370370371
R0_STANDARDIZED__GMM_DIAG__K2,85,1,0,0.3055555555555556
R0_STANDARDIZED__GMM_DIAG__K2,86,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,86,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,87,0,1,0.5882352941176471
R0_STANDARDIZED__GMM_DIAG__K2,87,1,0,0.4
R0_STANDARDIZED__GMM_DIAG__K2,88,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,88,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,89,0,0,0.9821428571428571
R0_STANDARDIZED__GMM_DIAG__K2,89,1,1,0.9
R0_STANDARDIZED__GMM_DIAG__K2,90,0,0,0.7321428571428571
R0_STANDARDIZED__GMM_DIAG__K2,90,1,1,0.375
R0_STANDARDIZED__GMM_DIAG__K2,91,0,0,0.7272727272727273
R0_STANDARDIZED__GMM_DIAG__K2,91,1,1,0.4
R0_STANDARDIZED__GMM_DIAG__K2,92,0,1,0.5846153846153846
R0_STANDARDIZED__GMM_DIAG__K2,92,1,0,0.0
R0_STANDARDIZED__GMM_DIAG__K2,93,0,0,0.7017543859649122
R0_STANDARDIZED__GMM_DIAG__K2,93,1,1,0.32
R0_STANDARDIZED__GMM_DIAG__K2,94,0,1,0.9818181818181818
R0_STANDARDIZED__GMM_DIAG__K2,94,1,0,0.9090909090909091
R0_STANDARDIZED__GMM_DIAG__K2,95,0,0,0.9821428571428571
R0_STANDARDIZED__GMM_DIAG__K2,95,1,1,0.9
R0_STANDARDIZED__GMM_DIAG__K2,96,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,96,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,97,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,97,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,98,0,0,0.6461538461538462
R0_STANDARDIZED__GMM_DIAG__K2,98,1,1,0.0
R0_STANDARDIZED__GMM_DIAG__K2,99,0,1,0.42592592592592593
R0_STANDARDIZED__GMM_DIAG__K2,99,1,0,0.2619047619047619
R0_STANDARDIZED__GMM_DIAG__K2,100,0,0,0.9818181818181818
R0_STANDARDIZED__GMM_DIAG__K2,100,1,1,0.9090909090909091
R0_STANDARDIZED__GMM_DIAG__K2,101,0,0,0.7169811320754716
R0_STANDARDIZED__GMM_DIAG__K2,101,1,1,0.4444444444444444
R0_STANDARDIZED__GMM_DIAG__K2,102,0,1,0.6851851851851852
R0_STANDARDIZED__GMM_DIAG__K2,102,1,0,0.39285714285714285
R0_STANDARDIZED__GMM_DIAG__K2,103,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,103,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,104,0,1,0.7090909090909091
R0_STANDARDIZED__GMM_DIAG__K2,104,1,0,0.38461538461538464
R0_STANDARDIZED__GMM_DIAG__K2,105,0,1,0.6923076923076923
R0_STANDARDIZED__GMM_DIAG__K2,105,1,0,0.4482758620689655
R0_STANDARDIZED__GMM_DIAG__K2,106,0,1,0.39622641509433965
R0_STANDARDIZED__GMM_DIAG__K2,106,1,0,0.2727272727272727
R0_STANDARDIZED__GMM_DIAG__K2,107,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,107,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,108,0,1,0.9818181818181818
R0_STANDARDIZED__GMM_DIAG__K2,108,1,0,0.9090909090909091
R0_STANDARDIZED__GMM_DIAG__K2,109,0,1,0.7222222222222222
R0_STANDARDIZED__GMM_DIAG__K2,109,1,0,0.4230769230769231
R0_STANDARDIZED__GMM_DIAG__K2,110,0,1,0.6727272727272727
R0_STANDARDIZED__GMM_DIAG__K2,110,1,0,0.35714285714285715
R0_STANDARDIZED__GMM_DIAG__K2,111,0,1,0.9814814814814815
R0_STANDARDIZED__GMM_DIAG__K2,111,1,0,0.9166666666666666
R0_STANDARDIZED__GMM_DIAG__K2,112,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,112,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,113,0,0,0.7272727272727273
R0_STANDARDIZED__GMM_DIAG__K2,113,1,1,0.4
R0_STANDARDIZED__GMM_DIAG__K2,114,0,0,0.7058823529411765
R0_STANDARDIZED__GMM_DIAG__K2,114,1,1,0.4827586206896552
R0_STANDARDIZED__GMM_DIAG__K2,115,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,115,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,116,0,1,0.7037037037037037
R0_STANDARDIZED__GMM_DIAG__K2,116,1,0,0.4074074074074074
R0_STANDARDIZED__GMM_DIAG__K2,117,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,117,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,118,0,0,0.6727272727272727
R0_STANDARDIZED__GMM_DIAG__K2,118,1,1,0.35714285714285715
R0_STANDARDIZED__GMM_DIAG__K2,119,0,1,0.5094339622641509
R0_STANDARDIZED__GMM_DIAG__K2,119,1,0,0.3157894736842105
R0_STANDARDIZED__GMM_DIAG__K2,120,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,120,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,121,0,1,0.5818181818181818
R0_STANDARDIZED__GMM_DIAG__K2,121,1,0,0.30303030303030304
R0_STANDARDIZED__GMM_DIAG__K2,122,0,0,0.6981132075471698
R0_STANDARDIZED__GMM_DIAG__K2,122,1,1,0.42857142857142855
R0_STANDARDIZED__GMM_DIAG__K2,123,0,0,0.9814814814814815
R0_STANDARDIZED__GMM_DIAG__K2,123,1,1,0.9166666666666666
R0_STANDARDIZED__GMM_DIAG__K2,124,0,0,0.7321428571428571
R0_STANDARDIZED__GMM_DIAG__K2,124,1,1,0.375
R0_STANDARDIZED__GMM_DIAG__K2,125,0,0,0.9814814814814815
R0_STANDARDIZED__GMM_DIAG__K2,125,1,1,0.9166666666666666
R0_STANDARDIZED__GMM_DIAG__K2,126,0,1,0.7222222222222222
R0_STANDARDIZED__GMM_DIAG__K2,126,1,0,0.4230769230769231
R0_STANDARDIZED__GMM_DIAG__K2,127,0,0,0.9824561403508771
R0_STANDARDIZED__GMM_DIAG__K2,127,1,1,0.8888888888888888
R0_STANDARDIZED__GMM_DIAG__K2,128,0,1,0.4444444444444444
R0_STANDARDIZED__GMM_DIAG__K2,128,1,0,0.2682926829268293
R0_STANDARDIZED__GMM_DIAG__K2,129,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,129,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,130,0,0,0.9615384615384616
R0_STANDARDIZED__GMM_DIAG__K2,130,1,1,0.8666666666666667
R0_STANDARDIZED__GMM_DIAG__K2,131,0,0,0.9807692307692307
R0_STANDARDIZED__GMM_DIAG__K2,131,1,1,0.9285714285714286
R0_STANDARDIZED__GMM_DIAG__K2,132,0,1,0.44642857142857145
R0_STANDARDIZED__GMM_DIAG__K2,132,1,0,0.225
R0_STANDARDIZED__GMM_DIAG__K2,133,0,1,0.9814814814814815
R0_STANDARDIZED__GMM_DIAG__K2,133,1,0,0.9166666666666666
R0_STANDARDIZED__GMM_DIAG__K2,134,0,0,1.0
