institution_id,state,institution_type,children_served,staff_size,available_devices,internet_stability,current_digital_tools,registration_system_type,admin_time_load,administrative_organization,digital_usage_frequency,previous_digital_implementation,implementation_difficulty,time_constraint,staffing_constraint,training_deficit,resource_constraint,system_change_resistance,perceived_digital_utility,tool_adoption_willingness,pilot_openness,available_devices_encoded,internet_stability_encoded,registration_system_type_encoded,admin_time_load_encoded,admin_time_load_norm,administrative_organization_encoded,digital_usage_frequency_encoded,previous_digital_implementation_encoded,implementation_difficulty_encoded,implementation_difficulty_norm,time_constraint_encoded,time_constraint_norm,staffing_constraint_encoded,staffing_constraint_norm,training_deficit_encoded,training_deficit_norm,resource_constraint_encoded,resource_constraint_norm,system_change_resistance_encoded,system_change_resistance_norm,perceived_digital_utility_encoded,tool_adoption_willingness_encoded,pilot_openness_encoded,uses_excel,uses_whatsapp,uses_google_workspace,uses_specialized_software,uses_other_tool,uses_no_tool,digital_tool_variety
INST_062,Ciudad de México,Privada,60+,16-30,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Mixto,5+ horas,Alto,Diario,Sí,Moderado,Medio,Nada,Poco,Poco,Neutral,Mucho,Neutrales,No,3,5,3,4,4,4,4,1,3.0,3.0,3,3,1,1,2,2,2,2,3,3,4,3,0.0,1,1,1,1,0,0,4
INST_063,Baja California,Privada,11-30,6-15,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,1-3 horas,Muy alto,Diario,Sí,Fácil,Poco,Poco,Poco,Nada,Fácil,Mucho,Muy dispuestos,Sí,3,5,4,2,2,5,4,1,2.0,2.0,2,2,2,2,2,2,1,1,2,2,4,5,1.0,1,1,1,1,0,0,4
INST_064,Chihuahua,Mixta,11-30,6-15,3-5,Estable,Excel;WhatsApp,Excel,1-3 horas,Muy bajo,Semanal,Sí,Moderado,Poco,Medio,Poco,Alto,Fácil,Mucho,Muy dispuestos,Tal vez,2,4,2,2,2,1,3,1,3.0,3.0,2,2,3,3,2,2,4,4,2,2,4,5,0.5,1,1,0,0,0,0,2
INST_065,Morelos,Pública,11-30,6-15,1-2,Muy inestable,WhatsApp,Papel,3-5 horas,Alto,Rara vez,No,Moderado,Medio,Poco,Poco,Muy alto,Fácil,Mucho,Dispuestos,Sí,1,2,1,3,3,4,2,0,3.0,3.0,3,3,2,2,2,2,5,5,2,2,4,4,1.0,0,1,0,0,0,0,1
INST_066,Zacatecas,Mixta,11-30,6-15,3-5,Estable,Excel;WhatsApp,Excel,1-3 horas,Muy bajo,Semanal,Sí,Fácil,Poco,Medio,Poco,Alto,Fácil,Mucho,Muy dispuestos,Tal vez,2,4,2,2,2,1,3,1,2.0,2.0,2,2,3,3,2,2,4,4,2,2,4,5,0.5,1,1,0,0,0,0,2
INST_067,Nayarit,Pública,31-60,16-30,3-5,Estable,Excel;WhatsApp,Excel,3-5 horas,Medio,Semanal,Sí,Difícil,Alto,Alto,Medio,Poco,Neutral,Mucho,Neutrales,Tal vez,2,4,2,3,3,3,3,1,4.0,4.0,4,4,4,4,3,3,2,2,3,3,4,3,0.5,1,1,0,0,0,0,2
INST_068,Jalisco,Asociación civil / ONG,60+,16-30,3-5,Estable,Excel;WhatsApp;Google Drive / Docs,Mixto,5+ horas,Bajo,Semanal,Sí,Difícil,Muy alto,Alto,Alto,Medio,Difícil,Mucho,Neutrales,Tal vez,2,4,3,4,4,2,3,1,4.0,4.0,5,5,4,4,4,4,3,3,4,4,4,3,0.5,1,1,1,0,0,0,3
INST_069,Chihuahua,Mixta,11-30,6-15,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,3-5 horas,Alto,Diario,Sí,Moderado,Alto,Muy alto,Medio,Nada,Neutral,Mucho,Dispuestos,Tal vez,3,5,4,3,3,4,4,1,3.0,3.0,4,4,5,5,3,3,1,1,3,3,4,4,0.5,1,1,1,1,0,0,4
INST_070,Ciudad de México,Asociación civil / ONG,11-30,6-15,6+,Estable,Excel;WhatsApp;Google Drive / Docs;Otra,Mixto,1-3 horas,Medio,Diario,Sí,Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Neutral,Algo,Neutrales,Tal vez,3,4,3,2,2,3,4,1,3.0,3.0,5,5,5,5,5,5,5,5,3,3,3,3,0.5,1,1,1,0,1,0,4
INST_071,Chiapas,Asociación civil / ONG,31-60,6-15,1-2,Inestable,WhatsApp;Google Drive / Docs,Papel,3-5 horas,Muy alto,Semanal,No,Fácil,Poco,Medio,Medio,Muy alto,Muy fácil,Mucho,Muy dispuestos,Sí,1,3,1,3,3,5,3,0,2.0,2.0,2,2,3,3,3,3,5,5,1,1,4,5,1.0,0,1,1,0,0,0,2
INST_072,Estado de México,Pública,60+,6-15,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,5+ horas,Muy alto,Diario,Sí,Muy difícil,Muy alto,Alto,Muy alto,Poco,Muy difícil,Mucho,Nada dispuestos,No,3,5,4,4,4,5,4,1,5.0,5.0,5,5,4,4,5,5,2,2,5,5,4,1,0.0,1,1,1,1,0,0,4
INST_073,Estado de México,Asociación civil / ONG,1-10,1-5,3-5,Inestable,Excel;WhatsApp;Software especializado,Excel,5+ horas,Muy alto,Diario,Sí,Fácil,Alto,Medio,Poco,Alto,Fácil,Mucho,Dispuestos,Sí,2,3,2,4,4,5,4,1,2.0,2.0,4,4,3,3,2,2,4,4,2,2,4,4,1.0,1,1,0,1,0,0,3
INST_074,Guanajuato,Mixta,31-60,16-30,0,No hay acceso,Ninguna,Papel,1-3 horas,Alto,Nunca,No,Moderado,Poco,Poco,Medio,Muy alto,Fácil,Mucho,Muy dispuestos,Sí,0,1,1,2,2,4,1,0,3.0,3.0,2,2,2,2,3,3,5,5,2,2,4,5,1.0,0,0,0,0,0,1,0
INST_075,Baja California,Privada,31-60,16-30,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,3-5 horas,Muy bajo,Diario,Sí,Muy difícil,Medio,Medio,Muy alto,Poco,Muy difícil,Mucho,Nada dispuestos,No,3,5,4,3,3,1,4,1,5.0,5.0,3,3,3,3,5,5,2,2,5,5,4,1,0.0,1,1,1,1,0,0,4
INST_076,Nuevo León,Asociación civil / ONG,60+,30+,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Mixto,5+ horas,Medio,Diario,Sí,Moderado,Muy alto,Muy alto,Poco,Poco,Fácil,Mucho,Dispuestos,Tal vez,3,5,3,4,4,3,4,1,3.0,3.0,5,5,5,5,2,2,2,2,2,2,4,4,0.5,1,1,1,1,0,0,4
INST_077,Sonora,Asociación civil / ONG,31-60,16-30,3-5,Estable,Excel;WhatsApp;Google Drive / Docs,Mixto,3-5 horas,Muy alto,Diario,Sí,Fácil,Poco,Poco,Medio,Poco,Fácil,Mucho,Muy dispuestos,Sí,2,4,3,3,3,5,4,1,2.0,2.0,2,2,2,2,3,3,2,2,2,2,4,5,1.0,1,1,1,0,0,0,3
INST_078,Quintana Roo,Mixta,31-60,16-30,3-5,Estable,Excel;WhatsApp;Google Drive / Docs,Mixto,3-5 horas,Medio,Diario,Sí,Moderado,Muy alto,Alto,Poco,Poco,Fácil,Mucho,Dispuestos,Tal vez,2,4,3,3,3,3,4,1,3.0,3.0,5,5,4,4,2,2,2,2,2,2,4,4,0.5,1,1,1,0,0,0,3
INST_079,Baja California Sur,Asociación civil / ONG,31-60,16-30,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,3-5 horas,Muy bajo,Diario,Sí,Muy difícil,Medio,Medio,Muy alto,Poco,Muy difícil,Mucho,Poco dispuestos,No,3,5,4,3,3,1,4,1,5.0,5.0,3,3,3,3,5,5,2,2,5,5,4,2,0.0,1,1,1,1,0,0,4
INST_080,Jalisco,Pública,11-30,6-15,3-5,Inestable,Excel;WhatsApp;Google Drive / Docs,Excel,5+ horas,Medio,Diario,No,,Medio,Medio,Medio,Alto,Difícil,Algo,Poco dispuestos,No,2,3,2,4,4,3,4,0,,,3,3,3,3,3,3,4,4,4,4,3,2,0.0,1,1,1,0,0,0,3
INST_081,Oaxaca,Mixta,31-60,16-30,3-5,Estable,Excel;WhatsApp;Google Drive / Docs,Mixto,5+ horas,Bajo,Semanal,Sí,Difícil,Muy alto,Alto,Alto,Medio,Difícil,Mucho,Neutrales,Tal vez,2,4,3,4,4,2,3,1,4.0,4.0,5,5,4,4,4,4,3,3,4,4,4,3,0.5,1,1,1,0,0,0,3
