institution_id,state,institution_type,children_served,staff_size,available_devices,internet_stability,current_digital_tools,registration_system_type,admin_time_load,administrative_organization,digital_usage_frequency,previous_digital_implementation,implementation_difficulty,time_constraint,staffing_constraint,training_deficit,resource_constraint,system_change_resistance,perceived_digital_utility,tool_adoption_willingness,pilot_openness,available_devices_encoded,internet_stability_encoded,registration_system_type_encoded,admin_time_load_encoded,admin_time_load_norm,administrative_organization_encoded,digital_usage_frequency_encoded,previous_digital_implementation_encoded,implementation_difficulty_encoded,implementation_difficulty_norm,time_constraint_encoded,time_constraint_norm,staffing_constraint_encoded,staffing_constraint_norm,training_deficit_encoded,training_deficit_norm,resource_constraint_encoded,resource_constraint_norm,system_change_resistance_encoded,system_change_resistance_norm,perceived_digital_utility_encoded,tool_adoption_willingness_encoded,pilot_openness_encoded,uses_excel,uses_whatsapp,uses_google_workspace,uses_specialized_software,uses_other_tool,uses_no_tool,digital_tool_variety
INST_015,Colima,Asociación civil / ONG,1-10,1-5,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,Menos de 1 hora,Muy alto,Diario,Sí,Muy fácil,Nada,Poco,Medio,Nada,Fácil,Mucho,Neutrales,Tal vez,3,5,4,1,1,5,4,1,1.0,1.0,1,1,2,2,3,3,1,1,2,2,4,3,0.5,1,1,1,1,0,0,4
INST_016,Jalisco,Asociación civil / ONG,60+,30+,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,5+ horas,Bajo,Diario,Sí,Difícil,Muy alto,Muy alto,Medio,Nada,Neutral,Mucho,Dispuestos,Tal vez,3,5,4,4,4,2,4,1,4.0,4.0,5,5,5,5,3,3,1,1,3,3,4,4,0.5,1,1,1,1,0,0,4
INST_017,Estado de México,Pública,11-30,6-15,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,1-3 horas,Medio,Diario,Sí,Moderado,Poco,Poco,Muy alto,Nada,Muy difícil,Mucho,Poco dispuestos,Tal vez,3,5,4,2,2,3,4,1,3.0,3.0,2,2,2,2,5,5,1,1,5,5,4,2,0.5,1,1,1,1,0,0,4
INST_018,Durango,Asociación civil / ONG,1-10,1-5,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,Menos de 1 hora,Muy alto,Diario,Sí,Muy fácil,Nada,Poco,Poco,Nada,Fácil,Mucho,Muy dispuestos,Sí,3,5,4,1,1,5,4,1,1.0,1.0,1,1,2,2,2,2,1,1,2,2,4,5,1.0,1,1,1,1,0,0,4
INST_019,Sinaloa,Mixta,11-30,6-15,3-5,Estable,Excel;WhatsApp,Excel,3-5 horas,Muy bajo,Semanal,Sí,Moderado,Medio,Poco,Poco,Alto,Fácil,Mucho,Dispuestos,Tal vez,2,4,2,3,3,1,3,1,3.0,3.0,3,3,2,2,2,2,4,4,2,2,4,4,0.5,1,1,0,0,0,0,2
INST_020,Nayarit,Privada,1-10,1-5,3-5,Muy estable,Excel;WhatsApp,Excel,1-3 horas,Medio,Diario,Sí,Fácil,Poco,Poco,Muy alto,Nada,Difícil,Mucho,Dispuestos,Sí,2,5,2,2,2,3,4,1,2.0,2.0,2,2,2,2,5,5,1,1,4,4,4,4,1.0,1,1,0,0,0,0,2
INST_021,Morelos,Asociación civil / ONG,60+,30+,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Mixto,5+ horas,Medio,Diario,Sí,Moderado,Alto,Alto,Alto,Muy alto,Neutral,Mucho,Dispuestos,Sí,3,5,3,4,4,3,4,1,3.0,3.0,4,4,4,4,4,4,5,5,3,3,4,4,1.0,1,1,1,1,0,0,4
INST_022,Campeche,Asociación civil / ONG,11-30,1-5,1-2,Inestable,WhatsApp,Papel,1-3 horas,Muy alto,Rara vez,No,Fácil,Poco,Poco,Medio,Muy alto,Muy fácil,Mucho,Muy dispuestos,Sí,1,3,1,2,2,5,2,0,2.0,2.0,2,2,2,2,3,3,5,5,1,1,4,5,1.0,0,1,0,0,0,0,1
INST_023,Ciudad de México,Pública,1-10,1-5,1-2,Estable,WhatsApp,Papel,3-5 horas,Medio,Semanal,No,Difícil,Medio,Medio,Medio,Medio,Neutral,Mucho,Dispuestos,Tal vez,1,4,1,3,3,3,3,0,4.0,4.0,3,3,3,3,3,3,3,3,3,3,4,4,0.5,0,1,0,0,0,0,1
INST_024,Baja California,Mixta,31-60,16-30,3-5,Estable,Excel;WhatsApp;Google Drive / Docs,Mixto,3-5 horas,Muy bajo,Diario,Sí,Muy difícil,Alto,Medio,Muy alto,Poco,Muy difícil,Mucho,Nada dispuestos,No,2,4,3,3,3,1,4,1,5.0,5.0,4,4,3,3,5,5,2,2,5,5,4,1,0.0,1,1,1,0,0,0,3
