institution_id,state,institution_type,children_served,staff_size,available_devices,internet_stability,current_digital_tools,registration_system_type,admin_time_load,administrative_organization,digital_usage_frequency,previous_digital_implementation,implementation_difficulty,time_constraint,staffing_constraint,training_deficit,resource_constraint,system_change_resistance,perceived_digital_utility,tool_adoption_willingness,pilot_openness,available_devices_encoded,internet_stability_encoded,registration_system_type_encoded,admin_time_load_encoded,admin_time_load_norm,administrative_organization_encoded,digital_usage_frequency_encoded,previous_digital_implementation_encoded,implementation_difficulty_encoded,implementation_difficulty_norm,time_constraint_encoded,time_constraint_norm,staffing_constraint_encoded,staffing_constraint_norm,training_deficit_encoded,training_deficit_norm,resource_constraint_encoded,resource_constraint_norm,system_change_resistance_encoded,system_change_resistance_norm,perceived_digital_utility_encoded,tool_adoption_willingness_encoded,pilot_openness_encoded,uses_excel,uses_whatsapp,uses_google_workspace,uses_specialized_software,uses_other_tool,uses_no_tool,digital_tool_variety,device_constraint,internet_stability_constraint,digital_tool_variety_constraint,recording_system_constraint,admin_time_load_constraint,administrative_disorganization_constraint,system_change_resistance_constraint,digital_usage_constraint_score,implementation_difficulty_constraint,previous_implementation_constraint,time_constraint_score,staffing_constraint_score,training_deficit_score,resource_constraint_score,willingness_constraint_score,perceived_utility_constraint,pilot_openness_constraint,ICI,OCI,OLI,HCARI,AFS_baseline,AFS_theoretical,AFS_equal_weights,AFS_organizational_heavy,AFS_human_heavy,AFS_infrastructure_heavy
INST_011,Querétaro,Privada,11-30,6-15,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,3-5 horas,Muy bajo,Diario,Sí,Muy difícil,Medio,Medio,Muy alto,Poco,Muy difícil,Mucho,Poco dispuestos,No,3,5,4,3,3,1,4,1,5.0,5.0,3,3,3,3,5,5,2,2,5,5,4,2,0.0,1,1,1,1,0,0,4,0.0,0.0,0.2,0.0,0.6666666666666666,1.0,1.0,0.0,1.0,0,0.5,0.5,1.0,0.25,0.75,0.0,1.0,0.0666666666666666,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.4095238095238095,0.4261904761904761,0.40952380952380946,0.45619047619047615,0.44666666666666666,0.3709523809523809
INST_012,Puebla,Mixta,31-60,6-15,3-5,Muy estable,Excel;WhatsApp;Google Drive / Docs,Excel,3-5 horas,Muy bajo,Diario,Sí,Muy difícil,Medio,Medio,Muy alto,Poco,Muy difícil,Mucho,Nada dispuestos,No,2,5,2,3,3,1,4,1,5.0,5.0,3,3,3,3,5,5,2,2,5,5,4,1,0.0,1,1,1,0,0,0,3,0.3333333333333333,0.0,0.4,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,1.0,0,0.5,0.5,1.0,0.25,1.0,0.0,1.0,0.2444444444444444,0.8333333333333333,0.3333333333333333,0.6071428571428571,0.504563492063492,0.529563492063492,0.504563492063492,0.5590079365079365,0.5363888888888888,0.48198412698412696
INST_013,San Luis Potosí,Mixta,11-30,16-30,3-5,Estable,Excel;WhatsApp;Google Drive / Docs,Mixto,5+ horas,Alto,Diario,Sí,Moderado,Muy alto,Alto,Poco,Medio,Fácil,Mucho,Dispuestos,Tal vez,2,4,3,4,4,4,4,1,3.0,3.0,5,5,4,4,2,2,3,3,2,2,4,4,0.5,1,1,1,0,0,0,3,0.3333333333333333,0.25,0.4,0.3333333333333333,1.0,0.25,0.25,0.0,0.5,0,1.0,0.75,0.25,0.5,0.25,0.0,0.5,0.3277777777777778,0.4583333333333333,0.1666666666666666,0.4642857142857143,0.354265873015873,0.36884920634920637,0.354265873015873,0.37537698412698406,0.37597222222222226,0.3554960317460317
INST_014,Sonora,Pública,60+,30+,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,5+ horas,Bajo,Diario,Sí,Difícil,Muy alto,Alto,Medio,Nada,Neutral,Mucho,Dispuestos,Tal vez,3,5,4,4,4,2,4,1,4.0,4.0,5,5,4,4,3,3,1,1,3,3,4,4,0.5,1,1,1,1,0,0,4,0.0,0.0,0.2,0.0,1.0,0.75,0.5,0.0,0.75,0,1.0,0.75,0.5,0.0,0.25,0.0,0.5,0.0666666666666666,0.5625,0.25,0.4285714285714285,0.3269345238095238,0.3425595238095237,0.3269345238095238,0.36735119047619047,0.35395833333333326,0.299672619047619
INST_015,Colima,Asociación civil / ONG,1-10,1-5,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,Menos de 1 hora,Muy alto,Diario,Sí,Muy fácil,Nada,Poco,Medio,Nada,Fácil,Mucho,Neutrales,Tal vez,3,5,4,1,1,5,4,1,1.0,1.0,1,1,2,2,3,3,1,1,2,2,4,3,0.5,1,1,1,1,0,0,4,0.0,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0,0.0,0.25,0.5,0.0,0.5,0.0,0.5,0.0666666666666666,0.0625,0.0,0.25,0.0947916666666666,0.09791666666666665,0.09479166666666665,0.09770833333333331,0.11645833333333332,0.0889583333333333
INST_016,Jalisco,Asociación civil / ONG,60+,30+,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,5+ horas,Bajo,Diario,Sí,Difícil,Muy alto,Muy alto,Medio,Nada,Neutral,Mucho,Dispuestos,Tal vez,3,5,4,4,4,2,4,1,4.0,4.0,5,5,5,5,3,3,1,1,3,3,4,4,0.5,1,1,1,1,0,0,4,0.0,0.0,0.2,0.0,1.0,0.75,0.5,0.0,0.75,0,1.0,1.0,0.5,0.0,0.25,0.0,0.5,0.0666666666666666,0.5625,0.25,0.4642857142857143,0.3358630952380952,0.3514880952380952,0.3358630952380952,0.37627976190476187,0.36645833333333333,0.30681547619047617
INST_017,Estado de México,Pública,11-30,6-15,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,1-3 horas,Medio,Diario,Sí,Moderado,Poco,Poco,Muy alto,Nada,Muy difícil,Mucho,Poco dispuestos,Tal vez,3,5,4,2,2,3,4,1,3.0,3.0,2,2,2,2,5,5,1,1,5,5,4,2,0.5,1,1,1,1,0,0,4,0.0,0.0,0.2,0.0,0.3333333333333333,0.5,1.0,0.0,0.5,0,0.25,0.25,1.0,0.0,0.75,0.0,0.5,0.0666666666666666,0.4583333333333333,0.1666666666666666,0.3928571428571428,0.2711309523809523,0.28571428571428564,0.2711309523809523,0.305297619047619,0.29874999999999996,0.24982142857142853
INST_018,Durango,Asociación civil / ONG,1-10,1-5,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,Menos de 1 hora,Muy alto,Diario,Sí,Muy fácil,Nada,Poco,Poco,Nada,Fácil,Mucho,Muy dispuestos,Sí,3,5,4,1,1,5,4,1,1.0,1.0,1,1,2,2,2,2,1,1,2,2,4,5,1.0,1,1,1,1,0,0,4,0.0,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0666666666666666,0.0625,0.0,0.0714285714285714,0.0501488095238095,0.0532738095238095,0.0501488095238095,0.05306547619047617,0.05395833333333331,0.05324404761904758
INST_019,Sinaloa,Mixta,11-30,6-15,3-5,Estable,Excel;WhatsApp,Excel,3-5 horas,Muy bajo,Semanal,Sí,Moderado,Medio,Poco,Poco,Alto,Fácil,Mucho,Dispuestos,Tal vez,2,4,2,3,3,1,3,1,3.0,3.0,3,3,2,2,2,2,4,4,2,2,4,4,0.5,1,1,0,0,0,0,2,0.3333333333333333,0.25,0.6,0.6666666666666666,0.6666666666666666,1.0,0.25,0.3333333333333333,0.5,0,0.5,0.25,0.25,0.75,0.25,0.0,0.5,0.3944444444444444,0.6458333333333333,0.2777777777777777,0.3571428571428571,0.4187996031746031,0.43720238095238084,0.4187996031746031,0.44977182539682525,0.42090277777777774,0.42649801587301583
INST_020,Nayarit,Privada,1-10,1-5,3-5,Muy estable,Excel;WhatsApp,Excel,1-3 horas,Medio,Diario,Sí,Fácil,Poco,Poco,Muy alto,Nada,Difícil,Mucho,Dispuestos,Sí,2,5,2,2,2,3,4,1,2.0,2.0,2,2,2,2,5,5,1,1,4,4,4,4,1.0,1,1,0,0,0,0,2,0.3333333333333333,0.0,0.6,0.6666666666666666,0.3333333333333333,0.5,0.75,0.0,0.25,0,0.25,0.25,1.0,0.0,0.25,0.0,0.0,0.3111111111111111,0.5625,0.0833333333333333,0.25,0.3017361111111111,0.3256944444444444,0.3017361111111111,0.33826388888888886,0.3070138888888889,0.3161805555555555
