,ICI,OCI,OLI,HCARI
ICI,1.0,-0.2768086423961093,0.27153700083315807,0.5499517078461944
OCI,-0.2768086423961093,1.0,-0.05316161529653368,0.38117113055207075
OLI,0.27153700083315807,-0.05316161529653368,1.0,0.15242125849071267
HCARI,0.5499517078461944,0.38117113055207075,0.15242125849071267,1.0
