branch,pearson_correlation_with_AFS,spearman_correlation_with_AFS,absolute_pearson
HCARI,0.8624361822551465,0.884008019151732,0.8624361822551465
OCI,0.6071213477380903,0.57034624930839,0.6071213477380903
ICI,0.5674630188783847,0.602221086545801,0.5674630188783847
OLI,0.28768770545678257,0.21705291429626714,0.28768770545678257
