state,institution_type,children_served,staff_size,available_devices,internet_constraint,current_digital_tools,information_recording_method,admin_time_load_norm,admin_disorganization,digital_usage_constraint,previous_digital_implementation,implementation_difficulty_norm,time_constraint_norm,staffing_constraint_norm,training_deficit_norm,resource_constraint_norm,system_change_resistance_norm,perceived_digital_utility_norm,willingness_constraint,pilot_openness,uses_excel,uses_whatsapp,uses_google_workspace,uses_specialized_software,uses_no_tool,digital_tool_variety,device_constraint,internet_stability_constraint,digital_tool_variety_constraint,recording_system_constraint,admin_time_load_constraint,administrative_disorganization_constraint,implementation_difficulty_constraint,system_change_resistance_constraint,time_constraint_score,staffing_constraint_score,resource_constraint_score,digital_usage_constraint_score,training_deficit_score,willingness_constraint_score,perceived_utility_constraint,pilot_openness_constraint,previous_implementation_constraint,ICI,OCI,OLI,HCARI,AFS_baseline,AFS_theoretical,friction_category,dominant_constraint
San Luis Potosí,Mixta,11-30,16-30,2,4,Excel;WhatsApp;Google Drive / Docs,2,4,4,4,1,3,3,3,3,2,2,4,4,0.5,1,1,1,0,0,3,0.3333333333333333,0.25,0.25,0.6666666666666666,1.0,0.25,0.5,0.25,0.5,0.5,0.25,0.0,0.5,0.25,0.0,0.5,0.0,0.375,0.3333333333333333,0.5625,0.20833333333333334,0.36979166666666663,0.3583333333333333,Moderate friction,Operational
Sonora,Pública,60+,30+,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,4,2,4,1,4,3,3,3,3,3,4,4,0.5,1,1,1,1,0,4,0.0,0.0,0.0,0.0,1.0,0.75,0.75,0.5,0.5,0.5,0.5,0.0,0.5,0.25,0.0,0.5,0.0,0.0,0.6666666666666666,0.625,0.20833333333333334,0.37499999999999994,0.37708333333333327,Moderate friction,Organizational
Colima,Asociación civil / ONG,1-10,1-5,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,1,5,4,1,1,3,3,3,3,2,4,3,0.5,1,1,1,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.08333333333333333,0.375,0.25,0.17708333333333331,0.1625,Low friction,Operational
Jalisco,Asociación civil / ONG,60+,30+,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,4,2,4,1,4,3,3,3,3,3,4,4,0.5,1,1,1,1,0,4,0.0,0.0,0.0,0.0,1.0,0.75,0.75,0.5,0.5,0.5,0.5,0.0,0.5,0.25,0.0,0.5,0.0,0.0,0.6666666666666666,0.625,0.20833333333333334,0.37499999999999994,0.37708333333333327,Moderate friction,Organizational
Estado de México,Pública,11-30,6-15,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,2,3,4,1,3,3,3,3,3,5,4,2,0.5,1,1,1,1,0,4,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.75,0.0,0.5,0.0,0.0,0.6666666666666666,0.4583333333333333,0.2916666666666667,0.3541666666666667,0.3645833333333333,Moderate friction,Organizational
Durango,Asociación civil / ONG,1-10,1-5,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,1,5,4,1,1,3,3,3,3,2,4,5,1.0,1,1,1,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.375,0.08333333333333333,0.13541666666666666,0.12083333333333333,Low friction,Operational
Sinaloa,Mixta,11-30,6-15,2,4,Excel;WhatsApp,3,3,1,2,1,3,3,3,3,3,2,4,4,0.5,1,1,0,0,0,2,0.3333333333333333,0.25,0.5,0.3333333333333333,0.6666666666666666,1.0,0.5,0.25,0.5,0.5,0.5,0.6666666666666666,0.5,0.25,0.0,0.5,0.0,0.35416666666666663,0.5833333333333334,0.5416666666666666,0.3194444444444444,0.44965277777777773,0.4517361111111111,Moderate friction,Organizational
Nayarit,Privada,1-10,1-5,2,5,Excel;WhatsApp,3,2,3,4,1,2,3,3,3,3,4,4,4,1.0,1,1,0,0,0,2,0.3333333333333333,0.0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.25,0.75,0.5,0.5,0.5,0.0,0.5,0.25,0.0,0.0,0.0,0.29166666666666663,0.5,0.4583333333333333,0.125,0.34375,0.3458333333333333,Moderate friction,Organizational
Morelos,Asociación civil / ONG,60+,30+,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,2,4,3,4,1,3,3,3,3,4,3,4,4,1.0,1,1,1,1,0,4,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.5,0.5,0.5,0.5,0.75,0.0,0.5,0.25,0.0,0.0,0.0,0.16666666666666666,0.5,0.6875,0.125,0.36979166666666663,0.36041666666666666,Moderate friction,Operational
Campeche,Asociación civil / ONG,11-30,1-5,1,2,WhatsApp,1,2,5,1,0,2,3,3,3,4,1,4,5,1.0,0,1,0,0,0,1,0.6666666666666666,0.75,0.75,1.0,0.3333333333333333,0.0,0.25,0.0,0.5,0.5,0.75,1.0,0.5,0.0,0.0,0.0,1.0,0.7916666666666666,0.08333333333333333,0.5208333333333333,0.4166666666666667,0.453125,0.43124999999999997,Moderate friction,Infrastructure
