state,institution_type,children_served,staff_size,available_devices,internet_constraint,current_digital_tools,information_recording_method,admin_time_load_norm,admin_disorganization,digital_usage_constraint,previous_digital_implementation,implementation_difficulty_norm,time_constraint_norm,staffing_constraint_norm,training_deficit_norm,resource_constraint_norm,system_change_resistance_norm,perceived_digital_utility_norm,willingness_constraint,pilot_openness,uses_excel,uses_whatsapp,uses_google_workspace,uses_specialized_software,uses_no_tool,digital_tool_variety,device_constraint,internet_stability_constraint,digital_tool_variety_constraint,recording_system_constraint,admin_time_load_constraint,administrative_disorganization_constraint,implementation_difficulty_constraint,system_change_resistance_constraint,time_constraint_score,staffing_constraint_score,resource_constraint_score,digital_usage_constraint_score,training_deficit_score,willingness_constraint_score,perceived_utility_constraint,pilot_openness_constraint,previous_implementation_constraint,ICI,OCI,OLI,HCARI,AFS_baseline,AFS_theoretical,friction_category,dominant_constraint
Nuevo León,Pública,60+,30+,2,4,Excel;WhatsApp;Otra,2,4,2,1,1,5,3,3,3,2,4,3,3,0.5,1,1,0,0,0,2,0.3333333333333333,0.25,0.5,0.6666666666666666,1.0,0.75,1.0,0.75,0.5,0.5,0.25,1.0,0.5,0.5,0.3333333333333333,0.5,0.0,0.4375,0.8333333333333334,0.5625,0.47222222222222227,0.576388888888889,0.5899305555555555,High friction,Organizational
Ciudad de México,Asociación civil / ONG,31-60,16-30,2,5,Excel;WhatsApp;Google Drive / Docs,2,4,2,4,1,4,3,3,3,1,4,4,4,0.5,1,1,1,0,0,3,0.3333333333333333,0.0,0.25,0.6666666666666666,1.0,0.75,0.75,0.75,0.5,0.5,0.0,0.0,0.5,0.25,0.0,0.5,0.0,0.3125,0.75,0.5,0.20833333333333334,0.4427083333333333,0.45520833333333327,Moderate friction,Organizational
Baja California,Asociación civil / ONG,11-30,6-15,2,5,Excel;WhatsApp;Google Drive / Docs,3,4,2,2,1,4,3,3,3,1,5,4,2,0.5,1,1,1,0,0,3,0.3333333333333333,0.0,0.25,0.3333333333333333,1.0,0.75,0.75,1.0,0.5,0.5,0.0,0.6666666666666666,0.5,0.75,0.0,0.5,0.0,0.22916666666666663,0.8333333333333334,0.5,0.40277777777777773,0.4913194444444444,0.507986111111111,High friction,Organizational
Estado de México,Mixta,31-60,16-30,2,4,Excel;WhatsApp;Google Drive / Docs,2,3,1,2,1,5,3,3,3,1,5,4,2,0.0,1,1,1,0,0,3,0.3333333333333333,0.25,0.25,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,0.0,0.6666666666666666,0.5,0.75,0.0,1.0,0.0,0.375,1.0,0.41666666666666663,0.4861111111111111,0.5694444444444444,0.5986111111111111,High friction,Organizational
Puebla,Asociación civil / ONG,31-60,16-30,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,2,3,4,1,3,3,3,3,3,5,4,2,0.5,1,1,1,1,0,4,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.75,0.0,0.5,0.0,0.0,0.6666666666666666,0.4583333333333333,0.2916666666666667,0.3541666666666667,0.3645833333333333,Moderate friction,Organizational
Coahuila,Asociación civil / ONG,60+,16-30,2,4,Excel;WhatsApp;Google Drive / Docs,2,4,4,2,1,3,3,3,3,1,3,4,4,0.5,1,1,1,0,0,3,0.3333333333333333,0.25,0.25,0.6666666666666666,1.0,0.25,0.5,0.5,0.5,0.5,0.0,0.6666666666666666,0.5,0.25,0.0,0.5,0.0,0.375,0.4166666666666667,0.5,0.3194444444444444,0.4027777777777778,0.3986111111111111,Moderate friction,Operational
Ciudad de México,Privada,60+,16-30,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,2,4,4,4,1,3,3,3,3,1,3,4,3,0.0,1,1,1,1,0,4,0.0,0.0,0.0,0.6666666666666666,1.0,0.25,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.16666666666666666,0.4166666666666667,0.5,0.3333333333333333,0.3541666666666667,0.35,Moderate friction,Operational
Baja California,Privada,11-30,6-15,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,2,5,4,1,2,3,3,3,3,2,4,5,1.0,1,1,1,1,0,4,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.25,0.25,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.4583333333333333,0.08333333333333333,0.17708333333333334,0.1625,Low friction,Operational
Chihuahua,Mixta,11-30,6-15,2,4,Excel;WhatsApp,3,2,1,2,1,3,3,3,3,3,2,4,5,0.5,1,1,0,0,0,2,0.3333333333333333,0.25,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,0.25,0.5,0.5,0.5,0.6666666666666666,0.5,0.0,0.0,0.5,0.0,0.35416666666666663,0.5833333333333334,0.4583333333333333,0.27777777777777773,0.41840277777777773,0.42465277777777777,Moderate friction,Organizational
Morelos,Pública,11-30,6-15,1,1,WhatsApp,1,3,4,1,0,3,3,3,3,4,2,4,4,1.0,0,1,0,0,0,1,0.6666666666666666,1.0,0.75,1.0,0.6666666666666666,0.25,0.5,0.25,0.5,0.5,0.75,1.0,0.5,0.25,0.0,0.0,1.0,0.8541666666666666,0.3333333333333333,0.6041666666666666,0.4583333333333333,0.5625,0.5489583333333333,High friction,Infrastructure
Zacatecas,Mixta,11-30,6-15,2,4,Excel;WhatsApp,3,2,1,2,1,2,3,3,3,3,2,4,5,0.5,1,1,0,0,0,2,0.3333333333333333,0.25,0.5,0.3333333333333333,0.3333333333333333,1.0,0.25,0.25,0.5,0.5,0.5,0.6666666666666666,0.5,0.0,0.0,0.5,0.0,0.35416666666666663,0.5,0.4583333333333333,0.27777777777777773,0.3975694444444444,0.39965277777777775,Moderate friction,Organizational
Nayarit,Pública,31-60,16-30,2,4,Excel;WhatsApp,3,3,3,2,1,4,3,3,3,1,3,4,3,0.5,1,1,0,0,0,2,0.3333333333333333,0.25,0.5,0.3333333333333333,0.6666666666666666,0.5,0.75,0.5,0.5,0.5,0.0,0.6666666666666666,0.5,0.5,0.0,0.5,0.0,0.35416666666666663,0.5833333333333334,0.41666666666666663,0.3611111111111111,0.4288194444444444,0.4371527777777778,Moderate friction,Organizational
Jalisco,Asociación civil / ONG,60+,16-30,2,4,Excel;WhatsApp;Google Drive / Docs,2,4,2,2,1,4,3,3,3,2,4,4,3,0.5,1,1,1,0,0,3,0.3333333333333333,0.25,0.25,0.6666666666666666,1.0,0.75,0.75,0.75,0.5,0.5,0.25,0.6666666666666666,0.5,0.5,0.0,0.5,0.0,0.375,0.75,0.5625,0.3611111111111111,0.5121527777777778,0.5215277777777777,High friction,Organizational
Chihuahua,Mixta,11-30,6-15,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,3,4,4,1,3,3,3,3,3,3,4,4,0.5,1,1,1,1,0,4,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.25,0.0,0.5,0.0,0.0,0.4166666666666667,0.5416666666666666,0.20833333333333334,0.29166666666666663,0.28541666666666665,Moderate friction,Operational
Ciudad de México,Asociación civil / ONG,11-30,6-15,3,4,Excel;WhatsApp;Google Drive / Docs;Otra,2,2,3,4,1,3,3,3,3,4,3,3,3,0.5,1,1,1,0,0,3,0.0,0.25,0.25,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.75,0.0,0.5,0.5,0.3333333333333333,0.5,0.0,0.29166666666666663,0.5,0.5208333333333333,0.3055555555555555,0.4045138888888889,0.4034722222222222,Moderate friction,Operational
Chiapas,Asociación civil / ONG,31-60,6-15,1,2,WhatsApp;Google Drive / Docs,1,3,5,2,0,2,3,3,3,4,1,4,5,1.0,0,1,1,0,0,2,0.6666666666666666,0.75,0.5,1.0,0.6666666666666666,0.0,0.25,0.0,0.5,0.5,0.75,0.6666666666666666,0.5,0.0,0.0,0.0,1.0,0.7291666666666666,0.08333333333333333,0.6041666666666666,0.3611111111111111,0.4444444444444444,0.4184027777777778,Moderate friction,Infrastructure
Estado de México,Pública,60+,6-15,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,4,5,4,1,5,3,3,3,1,5,4,1,0.0,1,1,1,1,0,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.5,0.4166666666666667,0.3958333333333333,0.4041666666666667,Moderate friction,Organizational
Estado de México,Asociación civil / ONG,1-10,1-5,2,2,Excel;WhatsApp;Software especializado,3,4,5,4,1,2,3,3,3,3,2,4,4,1.0,1,1,0,1,0,3,0.3333333333333333,0.75,0.25,0.3333333333333333,1.0,0.0,0.25,0.25,0.5,0.5,0.5,0.0,0.5,0.25,0.0,0.0,0.0,0.41666666666666663,0.16666666666666666,0.625,0.125,0.3333333333333333,0.3104166666666667,Moderate friction,Operational
Guanajuato,Mixta,31-60,16-30,0,3,Ninguna,1,2,4,1,0,3,3,3,3,4,2,4,5,1.0,0,0,0,0,1,0,1.0,0.5,1.0,1.0,0.3333333333333333,0.25,0.5,0.25,0.5,0.5,0.75,1.0,0.5,0.0,0.0,0.0,1.0,0.875,0.3333333333333333,0.5208333333333333,0.4166666666666667,0.5364583333333333,0.5270833333333332,High friction,Infrastructure
Baja California,Privada,31-60,16-30,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,3,1,4,1,5,3,3,3,1,5,4,1,0.0,1,1,1,1,0,4,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.41666666666666663,0.4166666666666667,0.4583333333333333,0.4875,Moderate friction,Organizational
Nuevo León,Asociación civil / ONG,60+,30+,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,2,4,3,4,1,3,3,3,3,1,2,4,4,0.5,1,1,1,1,0,4,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.5,0.25,0.5,0.5,0.0,0.0,0.5,0.25,0.0,0.5,0.0,0.16666666666666666,0.4166666666666667,0.5,0.20833333333333334,0.3229166666666667,0.31875,Moderate friction,Operational
Sonora,Asociación civil / ONG,31-60,16-30,2,4,Excel;WhatsApp;Google Drive / Docs,2,3,5,4,1,2,3,3,3,1,2,4,5,1.0,1,1,1,0,0,3,0.3333333333333333,0.25,0.25,0.6666666666666666,0.6666666666666666,0.0,0.25,0.25,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.375,0.16666666666666666,0.41666666666666663,0.08333333333333333,0.26041666666666663,0.24791666666666665,Low friction,Operational
Quintana Roo,Mixta,31-60,16-30,2,4,Excel;WhatsApp;Google Drive / Docs,2,3,3,4,1,3,3,3,3,1,2,4,4,0.5,1,1,1,0,0,3,0.3333333333333333,0.25,0.25,0.6666666666666666,0.6666666666666666,0.5,0.5,0.25,0.5,0.5,0.0,0.0,0.5,0.25,0.0,0.5,0.0,0.375,0.4166666666666667,0.41666666666666663,0.20833333333333334,0.3541666666666667,0.35416666666666663,Moderate friction,Organizational
Baja California Sur,Asociación civil / ONG,31-60,16-30,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,3,1,4,1,5,3,3,3,1,5,4,2,0.0,1,1,1,1,0,4,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.75,0.0,1.0,0.0,0.0,1.0,0.41666666666666663,0.375,0.44791666666666663,0.4770833333333333,Moderate friction,Organizational
Jalisco,Pública,11-30,6-15,2,2,Excel;WhatsApp;Google Drive / Docs,3,4,3,4,0,3,3,3,3,3,4,3,2,0.0,1,1,1,0,0,3,0.3333333333333333,0.75,0.25,0.3333333333333333,1.0,0.5,0.5,0.75,0.5,0.5,0.5,0.0,0.5,0.75,0.3333333333333333,1.0,1.0,0.41666666666666663,0.5833333333333334,0.625,0.5972222222222222,0.5555555555555556,0.5534722222222223,High friction,Operational
Oaxaca,Mixta,31-60,16-30,2,4,Excel;WhatsApp;Google Drive / Docs,2,4,2,2,1,4,3,3,3,2,4,4,3,0.5,1,1,1,0,0,3,0.3333333333333333,0.25,0.25,0.6666666666666666,1.0,0.75,0.75,0.75,0.5,0.5,0.25,0.6666666666666666,0.5,0.5,0.0,0.5,0.0,0.375,0.75,0.5625,0.3611111111111111,0.5121527777777778,0.5215277777777777,High friction,Organizational
