removed_branch,remaining_branches,effect_size
ICI,"OCI,OLI,HCARI",1.8058561916529061
OCI,"ICI,OLI,HCARI",1.8762101169857095
OLI,"ICI,OCI,HCARI",1.7965833802950444
HCARI,"ICI,OCI,OLI",1.8541616099697218
