branch,pearson_correlation_with_AFS,spearman_correlation_with_AFS,absolute_pearson,mean_score,std_score
OLI,0.8471901332632138,0.9087434120345622,0.8471901332632138,0.3556241426611797,0.2344064177743363
OCI,0.7350873101566402,0.6349998736006369,0.7350873101566402,0.5244341563786008,0.19022299720586044
ICI,0.681135199875053,0.7558537007374312,0.681135199875053,0.33415637860082303,0.25973501321906284
HCARI,0.6027214208156075,0.5016795193848194,0.6027214208156075,0.4168136390358612,0.1665443197531423
