branch_a,branch_b,pearson_correlation,absolute_correlation
ICI,OLI,0.8025582269658033,0.8025582269658033
OCI,HCARI,0.7908720046242919,0.7908720046242919
OCI,OLI,0.3356178163603674,0.3356178163603674
OLI,HCARI,0.2346590833574685,0.2346590833574685
ICI,HCARI,-0.10418036723530635,0.10418036723530635
ICI,OCI,0.0810215010525587,0.0810215010525587
