candidate_id,representation,algorithm,k_requested,cluster,size
R1_PCA_85__KMEANS__K3,R1_PCA_85,KMEANS,3,0,17
R1_PCA_85__KMEANS__K3,R1_PCA_85,KMEANS,3,1,18
R1_PCA_85__KMEANS__K3,R1_PCA_85,KMEANS,3,2,46
R1_PCA_85__HAC_WARD__K3,R1_PCA_85,HAC_WARD,3,0,46
R1_PCA_85__HAC_WARD__K3,R1_PCA_85,HAC_WARD,3,1,13
R1_PCA_85__HAC_WARD__K3,R1_PCA_85,HAC_WARD,3,2,22
R1_PCA_85__GMM_DIAG__K3,R1_PCA_85,GMM_DIAG,3,0,6
R1_PCA_85__GMM_DIAG__K3,R1_PCA_85,GMM_DIAG,3,1,28
R1_PCA_85__GMM_DIAG__K3,R1_PCA_85,GMM_DIAG,3,2,47
R1_PCA_85__KMEANS__K4,R1_PCA_85,KMEANS,4,0,13
R1_PCA_85__KMEANS__K4,R1_PCA_85,KMEANS,4,1,37
R1_PCA_85__KMEANS__K4,R1_PCA_85,KMEANS,4,2,15
R1_PCA_85__KMEANS__K4,R1_PCA_85,KMEANS,4,3,16
R1_PCA_85__HAC_WARD__K4,R1_PCA_85,HAC_WARD,4,0,22
R1_PCA_85__HAC_WARD__K4,R1_PCA_85,HAC_WARD,4,1,13
R1_PCA_85__HAC_WARD__K4,R1_PCA_85,HAC_WARD,4,2,35
R1_PCA_85__HAC_WARD__K4,R1_PCA_85,HAC_WARD,4,3,11
R1_PCA_85__GMM_DIAG__K4,R1_PCA_85,GMM_DIAG,4,0,39
R1_PCA_85__GMM_DIAG__K4,R1_PCA_85,GMM_DIAG,4,1,16
R1_PCA_85__GMM_DIAG__K4,R1_PCA_85,GMM_DIAG,4,2,6
R1_PCA_85__GMM_DIAG__K4,R1_PCA_85,GMM_DIAG,4,3,20
R1_PCA_85__KMEANS__K5,R1_PCA_85,KMEANS,5,0,15
R1_PCA_85__KMEANS__K5,R1_PCA_85,KMEANS,5,1,20
R1_PCA_85__KMEANS__K5,R1_PCA_85,KMEANS,5,2,14
R1_PCA_85__KMEANS__K5,R1_PCA_85,KMEANS,5,3,13
R1_PCA_85__KMEANS__K5,R1_PCA_85,KMEANS,5,4,19
R1_PCA_85__HAC_WARD__K5,R1_PCA_85,HAC_WARD,5,0,35
R1_PCA_85__HAC_WARD__K5,R1_PCA_85,HAC_WARD,5,1,9
R1_PCA_85__HAC_WARD__K5,R1_PCA_85,HAC_WARD,5,2,13
R1_PCA_85__HAC_WARD__K5,R1_PCA_85,HAC_WARD,5,3,11
R1_PCA_85__HAC_WARD__K5,R1_PCA_85,HAC_WARD,5,4,13
R1_PCA_85__GMM_DIAG__K5,R1_PCA_85,GMM_DIAG,5,0,7
R1_PCA_85__GMM_DIAG__K5,R1_PCA_85,GMM_DIAG,5,1,39
R1_PCA_85__GMM_DIAG__K5,R1_PCA_85,GMM_DIAG,5,2,13
R1_PCA_85__GMM_DIAG__K5,R1_PCA_85,GMM_DIAG,5,3,10
R1_PCA_85__GMM_DIAG__K5,R1_PCA_85,GMM_DIAG,5,4,12
R1_PCA_85__KMEANS__K6,R1_PCA_85,KMEANS,6,0,14
R1_PCA_85__KMEANS__K6,R1_PCA_85,KMEANS,6,1,15
