institution_id,current_profile,target_profile,method,rank,weighted_l1,l0,total_cost,plausibility_distance,target_margin,search_depth,changed_features_json,changes_json
INST_007,1,2,BEAM,5,2.9999937500133753,4,3.9999937500133753,0.7156006165952803,1.9290006675796252,4,"[""digital_tool_variety_constraint"", ""administrative_disorganization_constraint"", ""recording_system_constraint"", ""system_change_resistance_constraint""]","[{""feature"": ""digital_tool_variety_constraint"", ""from"": 0.4, ""to"": 0.8, ""delta"": 0.4}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 0.5, ""to"": 0.25, ""delta"": -0.25}, {""feature"": ""recording_system_constraint"", ""from"": 0.6666666666666666, ""to"": 1.0, ""delta"": 0.33333333333333337}, {""feature"": ""system_change_resistance_constraint"", ""from"": 0.75, ""to"": 0.25, ""delta"": -0.5}]"
INST_007,1,2,EXACT,1,2.4999945000122503,3,3.2499945000122503,0.7911358538616302,1.397906191889414,3,"[""digital_tool_variety_constraint"", ""administrative_disorganization_constraint"", ""system_change_resistance_constraint""]","[{""feature"": ""digital_tool_variety_constraint"", ""from"": 0.4, ""to"": 0.8, ""delta"": 0.4}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 0.5, ""to"": 0.25, ""delta"": -0.25}, {""feature"": ""system_change_resistance_constraint"", ""from"": 0.75, ""to"": 0.25, ""delta"": -0.5}]"
INST_007,1,2,EXACT,2,2.4999950000099997,3,3.2499950000099997,0.7830682000415932,0.8947278963984049,3,"[""staffing_constraint_score"", ""administrative_disorganization_constraint"", ""system_change_resistance_constraint""]","[{""feature"": ""staffing_constraint_score"", ""from"": 0.75, ""to"": 0.5, ""delta"": -0.25}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 0.5, ""to"": 0.0, ""delta"": -0.5}, {""feature"": ""system_change_resistance_constraint"", ""from"": 0.75, ""to"": 0.25, ""delta"": -0.5}]"
INST_007,1,2,EXACT,3,2.3333286388986063,4,3.3333286388986063,0.7858382132159427,1.159844543726802,4,"[""training_deficit_score"", ""digital_tool_variety_constraint"", ""administrative_disorganization_constraint"", ""system_change_resistance_constraint""]","[{""feature"": ""training_deficit_score"", ""from"": 0.75, ""to"": 0.5, ""delta"": -0.25}, {""feature"": ""digital_tool_variety_constraint"", ""from"": 0.4, ""to"": 0.6, ""delta"": 0.19999999999999996}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 0.5, ""to"": 0.25, ""delta"": -0.25}, {""feature"": ""system_change_resistance_constraint"", ""from"": 0.75, ""to"": 0.25, ""delta"": -0.5}]"
INST_007,1,2,EXACT,4,2.3333288888974812,4,3.3333288888974812,0.7830682000415932,0.9366406785634838,4,"[""training_deficit_score"", ""staffing_constraint_score"", ""administrative_disorganization_constraint"", ""system_change_resistance_constraint""]","[{""feature"": ""training_deficit_score"", ""from"": 0.75, ""to"": 0.5, ""delta"": -0.25}, {""feature"": ""staffing_constraint_score"", ""from"": 0.75, ""to"": 0.5, ""delta"": -0.25}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 0.5, ""to"": 0.25, ""delta"": -0.25}, {""feature"": ""system_change_resistance_constraint"", ""from"": 0.75, ""to"": 0.25, ""delta"": -0.5}]"
INST_007,1,2,EXACT,5,2.3333291388966066,4,3.3333291388966066,0.7817045892617303,1.2045895700895488,4,"[""training_deficit_score"", ""administrative_disorganization_constraint"", ""recording_system_constraint"", ""system_change_resistance_constraint""]","[{""feature"": ""training_deficit_score"", ""from"": 0.75, ""to"": 0.5, ""delta"": -0.25}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 0.5, ""to"": 0.25, ""delta"": -0.25}, {""feature"": ""recording_system_constraint"", ""from"": 0.6666666666666666, ""to"": 1.0, ""delta"": 0.33333333333333337}, {""feature"": ""system_change_resistance_constraint"", ""from"": 0.75, ""to"": 0.25, ""delta"": -0.5}]"
INST_071,2,1,BEAM,1,2.99999450001025,3,3.74999450001025,0.9524385483523712,0.08956290580149417,3,"[""recording_system_constraint"", ""system_change_resistance_constraint"", ""resource_constraint_score""]","[{""feature"": ""recording_system_constraint"", ""from"": 1.0, ""to"": 0.3333333333333333, ""delta"": -0.6666666666666667}, {""feature"": ""system_change_resistance_constraint"", ""from"": 0.0, ""to"": 0.5, ""delta"": 0.5}, {""feature"": ""resource_constraint_score"", ""from"": 1.0, ""to"": 0.5, ""delta"": -0.5}]"
INST_071,2,1,BEAM,2,3.4999912500231254,3,4.249991250023125,0.9343619523372169,0.050670053753216315,3,"[""device_constraint"", ""recording_system_constraint"", ""system_change_resistance_constraint""]","[{""feature"": ""device_constraint"", ""from"": 0.6666666666666666, ""to"": 0.0, ""delta"": -0.6666666666666666}, {""feature"": ""recording_system_constraint"", ""from"": 1.0, ""to"": 0.6666666666666666, ""delta"": -0.33333333333333337}, {""feature"": ""system_change_resistance_constraint"", ""from"": 0.0, ""to"": 0.5, ""delta"": 0.5}]"
INST_071,2,1,BEAM,3,3.4999925000162504,3,4.24999250001625,0.910942110755753,0.054560559798917385,3,"[""digital_tool_variety_constraint"", ""administrative_disorganization_constraint"", ""system_change_resistance_constraint""]","[{""feature"": ""digital_tool_variety_constraint"", ""from"": 0.6, ""to"": 0.2, ""delta"": -0.39999999999999997}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 0.0, ""to"": 0.75, ""delta"": 0.75}, {""feature"": ""system_change_resistance_constraint"", ""from"": 0.0, ""to"": 0.5, ""delta"": 0.5}]"
INST_071,2,1,BEAM,4,3.499993000014,3,4.249993000013999,0.843032333428793,0.050838043239493924,3,"[""internet_stability_constraint"", ""administrative_disorganization_constraint"", ""system_change_resistance_constraint""]","[{""feature"": ""internet_stability_constraint"", ""from"": 0.5, ""to"": 0.0, ""delta"": -0.5}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 0.0, ""to"": 0.75, ""delta"": 0.75}, {""feature"": ""system_change_resistance_constraint"", ""from"": 0.0, ""to"": 0.5, ""delta"": 0.5}]"
