component,eigenvalue,explained_variance_ratio,explained_variance_percent,cumulative_variance_ratio,cumulative_variance_percent,retained_at_85_percent
PC1,5.870283454183776,0.44598544761130227,44.59854476113023,0.44598544761130227,44.59854476113023,True
PC2,2.8883330607760462,0.21943650984053498,21.943650984053498,0.6654219574518372,66.54219574518372,True
PC3,1.6324407255584201,0.12402208741184559,12.402208741184559,0.7894440448636828,78.94440448636828,True
PC4,0.5278462306050937,0.040102277728781985,4.010227772878198,0.8295463225924647,82.95463225924648,True
PC5,0.5090384600042696,0.03867338727477825,3.8673387274778253,0.868219709867243,86.8219709867243,True
PC6,0.4290039640683809,0.03259289375638216,3.2592893756382164,0.9008126036236251,90.08126036236251,False
PC7,0.3809958109916261,0.02894555069262112,2.894555069262112,0.9297581543162463,92.97581543162462,False
PC8,0.31499421036591674,0.02393118407338395,2.393118407338395,0.9536893383896302,95.36893383896302,False
PC9,0.203954556665163,0.015495123013497638,1.5495123013497638,0.9691844614031279,96.91844614031278,False
PC10,0.14121574644057144,0.010728641704886702,1.07286417048867,0.9799131031080146,97.99131031080147,False
PC11,0.12025461714368066,0.009136153249282467,0.9136153249282467,0.9890492563572971,98.90492563572971,False
PC12,0.07966402594696823,0.0060523476502919735,0.6052347650291974,0.9951016040075891,99.5101604007589,False
PC13,0.06447513725010576,0.0048983959924106864,0.4898395992410686,0.9999999999999998,99.99999999999997,False
