institution_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
INST_001,6.260608295242709,-0.43159550667146085,1.4413448730909642,0.6761615838975418,-0.21412407990600246,0.12479132403264405,0.2867481536463023,-0.8450582501146783,-0.2333613642607838,-0.09418291109786497,-0.35286205495619366,0.09928600225641332,-0.14650592842962012
INST_002,-0.8464983712151617,0.9755962825570531,-0.8404982200084237,-0.6220299871319185,-1.3509298132894603,1.0015838377739295,-0.9359764605566775,-1.3667677944496228,-0.7330696542051397,-0.3525568085914629,0.5501150540981186,0.30730149786151223,-0.3348201748283488
INST_003,0.85014614703396,2.431757952855486,0.17118408343098585,1.5065156488683182,0.44003921601468554,-0.21251674710771426,0.9956019353148847,0.41693845265817964,0.2886262003784684,-0.004119043496270493,0.5316233651898553,-0.3432663490331521,-0.08017405633872371
INST_004,-0.7611178897012668,2.206374004403595,-0.36254878689947084,0.25436070342302725,0.1330355418027669,-0.41127285666071256,0.048867847242405775,-0.8557621350432261,0.9097242640169569,0.23942584589090324,-0.26870037620061726,-0.04576661963403162,0.15390853643886446
INST_005,0.4425809383822098,1.968483401978746,-1.071874019789241,0.1620957101004435,0.2423979122470219,-0.648718783865677,0.5645567140742266,-0.09238863342334462,0.6677196941168652,0.5545957976108811,-0.3620204985217635,0.12154911043906294,-0.41053742865581894
INST_006,-1.8394904643529952,1.9256455199724316,1.331473461725852,-0.47442221365711806,0.018746256362330474,-0.8581318359186544,-0.13912985107176265,-0.4119012400529133,0.21787338525160893,-0.09331183987892086,-0.09409016502452781,-0.12187741600173806,-0.007434433429167943
INST_007,1.4235706318391035,0.8233658578987865,0.43961675456854965,1.0746363747154648,-0.22211553310958707,1.3425370471534568,-0.5818269246906492,-0.7016473526278874,0.9262770481730617,0.22561202360562402,0.9685064385786238,-0.5202190303853946,0.2791323839152956
INST_008,-0.93285285424213,-2.239231571798991,1.0357632059138704,0.7935946856675382,-0.27697565176372957,-0.7801975346726543,-1.101155458303135,0.3296583486299526,-0.0180186100452128,0.09963913495380423,0.09971133775829037,-0.5038759687781645,-0.33661261136276655
INST_009,0.4528548914395302,-1.7197888180745873,0.21401906144698313,-1.588800759429834,1.0860153604008684,1.7654334137851244,0.7596071435761419,0.16410036413377832,-0.43833207554817677,1.2125654195415,0.13074014256628003,-0.8349144177256933,-0.02375393702201813
INST_010,-0.5309547769252618,0.417402695572358,-0.6705667323014489,-0.4460876308851629,-1.6156587992654385,-0.11674059294314526,-0.6849345160382683,0.32792060378871724,-0.018320346326650104,0.4301108483170286,0.5829783466310776,0.7674466043113877,-0.13836278137649638
