cluster_id,cluster_size,modal_fricta_v1_archetype,modal_count,modal_proportion,number_of_archetypes_present
1,68,Organizationally-Limited,52,0.7647058823529411,5
2,13,Infrastructure-Limited,12,0.9230769230769231,2
