fold_index,threshold,direction,train_balanced_accuracy,test_balanced_accuracy,test_macro_f1,test_roc_auc,test_ari,test_nmi
1,0.4391025641025641,1,0.7314814814814815,0.75,0.5641025641025641,0.9047619047619048,-0.017964071856287425,0.18656389305089277
2,0.4391025641025641,1,0.7363636363636363,0.7307692307692308,0.5465587044534412,0.641025641025641,-0.05,0.17618002277154
3,0.4551282051282051,1,0.7727272727272727,0.48717948717948717,0.36507936507936506,0.5897435897435896,-0.030042918454935622,0.00041866022028678356
4,0.4371794871794872,1,0.7314814814814815,0.7142857142857143,0.4666666666666667,0.6785714285714286,-0.06666666666666667,0.12331038678169001
5,0.4391025641025641,1,0.7222222222222222,0.7857142857142857,0.5636363636363637,0.6785714285714285,0.034334763948497854,0.17871023341808764
6,0.4391025641025641,1,0.7314814814814815,0.75,0.5641025641025641,0.6190476190476191,-0.017964071856287425,0.18656389305089277
7,0.4371794871794872,1,0.7090909090909091,0.8076923076923077,0.6536796536796536,0.8974358974358974,0.10423452768729642,0.25821680907613054
8,0.4551282051282051,1,0.7545454545454545,0.5641025641025641,0.4666666666666667,0.641025641025641,-0.04832104832104832,0.008891130288546007
9,0.4391025641025641,1,0.7592592592592593,0.6428571428571428,0.36507936507936506,0.6071428571428571,-0.11940298507462686,0.08273673753871687
10,0.4391025641025641,1,0.7407407407407407,0.7142857142857143,0.4666666666666667,0.8214285714285714,-0.06666666666666667,0.12331038678169001
11,0.4391025641025641,1,0.7685185185185186,0.6071428571428571,0.35294117647058826,0.40476190476190477,-0.13677811550151975,0.08178119837705052
12,0.4391025641025641,1,0.7454545454545455,0.6923076923076923,0.4920634920634921,0.8205128205128205,-0.09871244635193133,0.14449170118335888
13,0.4371794871794872,1,0.7181818181818181,0.7692307692307692,0.6,0.846153846153846,0.0171990171990172,0.21327035338138156
14,0.4551282051282051,1,0.7592592592592593,0.4642857142857143,0.37662337662337664,0.5,-0.022727272727272728,0.002120769548859458
15,0.4391025641025641,1,0.7037037037037037,0.8571428571428572,0.6666666666666667,0.8571428571428572,0.2,0.26595956216712824
16,0.4391025641025641,1,0.7222222222222222,0.7857142857142857,0.6136363636363636,0.7857142857142856,0.050761421319796954,0.22294705108743493
17,0.4391025641025641,1,0.7272727272727273,0.7692307692307692,0.6,0.8974358974358975,0.0171990171990172,0.21327035338138156
18,0.4551282051282051,1,0.7454545454545455,0.6025641025641025,0.5151515151515151,0.7435897435897436,-0.026058631921824105,0.02215639721221543
19,0.433974358974359,1,0.75,0.6071428571428571,0.30980392156862746,0.4285714285714286,-0.12704918032786885,0.06503817972217672
20,0.4391025641025641,1,0.75,0.6785714285714286,0.41700404858299595,0.5,-0.09883720930232558,0.10181700816911868
21,0.4391025641025641,1,0.75,0.6785714285714286,0.4631578947368421,0.6190476190476191,-0.10869565217391304,0.1288617483267018
22,0.4551282051282051,1,0.7363636363636363,0.641025641025641,0.5636363636363637,0.717948717948718,0.0171990171990172,0.042155560711833205
23,0.4391025641025641,1,0.7727272727272727,0.5769230769230769,0.30980392156862746,0.7692307692307692,-0.12704918032786885,0.06503817972217672
24,0.4391025641025641,1,0.7037037037037037,0.8571428571428572,0.6666666666666667,0.8928571428571428,0.2,0.26595956216712824
25,0.47756410256410253,1,0.7508417508417509,0.2857142857142857,0.3333333333333333,0.5,-0.06666666666666667,0.12331038678169001
26,0.4391025641025641,1,0.7407407407407407,0.7142857142857143,0.5142857142857142,0.5714285714285714,-0.07086614173228346,0.15575634360678023
27,0.4391025641025641,1,0.7181818181818181,0.8076923076923077,0.6536796536796536,0.7948717948717948,0.10423452768729642,0.25821680907613054
28,0.4570512820512821,1,0.7545454545454545,0.5641025641025641,0.4666666666666667,0.5384615384615384,-0.04832104832104832,0.008891130288546007
29,0.4391025641025641,1,0.75,0.6785714285714286,0.41700404858299595,0.75,-0.09883720930232558,0.10181700816911868
30,0.4391025641025641,1,0.7314814814814815,0.75,0.5151515151515151,0.75,-0.022727272727272728,0.14840708821535575
31,0.4391025641025641,1,0.7407407407407407,0.7142857142857143,0.5142857142857142,0.9285714285714286,-0.07086614173228346,0.15575634360678023
32,0.4391025641025641,1,0.7363636363636363,0.7307692307692308,0.5465587044534412,0.6923076923076923,-0.05,0.17618002277154
33,0.49487179487179483,1,0.7363636363636363,0.4358974358974359,0.4181818181818182,0.5384615384615384,-0.04832104832104832,0.008891130288546007
34,0.4551282051282051,1,0.75,0.5,0.4181818181818182,0.6428571428571428,-0.030042918454935622,0.0
35,0.4391025641025641,1,0.7407407407407407,0.7142857142857143,0.4666666666666667,0.7857142857142857,-0.06666666666666667,0.12331038678169001
