institution_a,profile_a,severity_a,institution_b,profile_b,severity_b,severity_gap,feature_l1_distance
INST_041,2,0.47820512820512817,INST_072,1,0.47692307692307695,0.001282051282051222,8.85
INST_012,1,0.5628205128205128,INST_065,2,0.5615384615384615,0.0012820512820512775,6.483333333333333
INST_021,1,0.4641025641025641,INST_071,2,0.46282051282051284,0.0012820512820512775,5.1499999999999995
INST_033,1,0.4384615384615384,INST_054,2,0.43974358974358974,0.001282051282051333,3.6833333333333336
INST_010,1,0.47564102564102567,INST_041,2,0.47820512820512817,0.0025641025641024995,5.866666666666667
INST_002,1,0.5115384615384616,INST_039,2,0.5166666666666666,0.005128205128204999,5.4
INST_041,2,0.47820512820512817,INST_053,1,0.4730769230769231,0.0051282051282050545,6.233333333333333
INST_006,1,0.6076923076923076,INST_074,2,0.6025641025641025,0.00512820512820511,8.266666666666667
INST_005,1,0.5974358974358974,INST_074,2,0.6025641025641025,0.00512820512820511,5.9
INST_036,2,0.4974358974358974,INST_061,1,0.4923076923076923,0.00512820512820511,5.9
INST_034,2,0.4974358974358974,INST_061,1,0.4923076923076923,0.00512820512820511,5.4
INST_054,2,0.43974358974358974,INST_073,1,0.4346153846153846,0.00512820512820511,3.2333333333333334
INST_021,1,0.4641025641025641,INST_022,2,0.4589743589743589,0.005128205128205221,6.2666666666666675
INST_019,1,0.4692307692307693,INST_071,2,0.46282051282051284,0.006410256410256443,3.4166666666666665
INST_011,1,0.45128205128205134,INST_022,2,0.4589743589743589,0.007692307692307554,8.266666666666666
INST_022,2,0.4589743589743589,INST_079,1,0.45128205128205134,0.007692307692307554,8.266666666666666
INST_035,1,0.4897435897435898,INST_036,2,0.4974358974358974,0.0076923076923076095,8.766666666666667
INST_041,2,0.47820512820512817,INST_075,1,0.47051282051282056,0.0076923076923076095,8.766666666666667
INST_034,2,0.4974358974358974,INST_035,1,0.4897435897435898,0.0076923076923076095,8.266666666666666
INST_001,2,0.5192307692307693,INST_002,1,0.5115384615384616,0.007692307692307665,8.1
INST_039,2,0.5166666666666666,INST_070,1,0.5089743589743589,0.007692307692307665,5.6000000000000005
INST_027,2,0.7051282051282051,INST_030,1,0.7128205128205127,0.007692307692307665,4.9
INST_051,2,0.5,INST_061,1,0.4923076923076923,0.0076923076923077205,7.6000000000000005
INST_071,2,0.46282051282051284,INST_075,1,0.47051282051282056,0.0076923076923077205,7.4
INST_041,2,0.47820512820512817,INST_057,1,0.4858974358974359,0.0076923076923077205,7.233333333333334
INST_032,1,0.4858974358974359,INST_041,2,0.47820512820512817,0.0076923076923077205,6.066666666666666
INST_051,2,0.5,INST_067,1,0.5076923076923078,0.007692307692307776,6.733333333333333
INST_039,2,0.5166666666666666,INST_067,1,0.5076923076923078,0.008974358974358831,4.283333333333333
INST_019,1,0.4692307692307693,INST_041,2,0.47820512820512817,0.008974358974358887,4.283333333333333
INST_001,2,0.5192307692307693,INST_043,1,0.5282051282051282,0.008974358974358942,9.716666666666667
