group_type,group_value,n,solvable,coverage
OVERALL,ALL,81,19,0.2345679012345679
REFERENCE_PROFILE,1,68,10,0.14705882352941177
REFERENCE_PROFILE,2,13,9,0.6923076923076923
CERTAINTY_CLASS,BOUNDARY,6,6,1.0
CERTAINTY_CLASS,CORE,66,10,0.15151515151515152
CERTAINTY_CLASS,HALO,9,3,0.3333333333333333
