group_type,group_value,n_solved,median_exact_min_cost,q025_exact_min_cost,q975_exact_min_cost,median_changed_features
OVERALL,ALL,19,4.4999910000242505,1.8749973500051669,7.824983600040777,4.0
REFERENCE_PROFILE,1,10,3.4999943750121876,1.6874976750045834,6.4374891250217505,3.0
REFERENCE_PROFILE,2,9,5.499989750024626,3.7999941500118752,8.1999808000523,4.0
CERTAINTY_CLASS,BOUNDARY,6,2.791662194453866,1.6041644861154354,4.34374328126339,2.5
CERTAINTY_CLASS,CORE,10,5.999988000030001,3.806244106262078,8.162481800047638,4.0
CERTAINTY_CLASS,HALO,3,3.999992750018375,3.762493462515406,4.474991087523956,4.0
