institution_id,reference_profile,target_profile,certainty_class,reference_profile_probability,family_consistency,expected_exact_candidates,evaluated_exact_candidates,transition_candidates,plausible_candidates,valid_plausible_candidates,selected_counterfactuals,global_best_cost,global_best_l0,depth1_valid,depth2_valid,depth3_valid,depth4_valid,failure_mode,elapsed_seconds
INST_037,2,1,CORE,1.0,1.0,147291,147291,620,60,4,1,8.499980000054501,4.0,0,0,0,4,SOLVABLE,2.0429066590004368
INST_038,1,2,CORE,0.9949238578680204,0.9791666666666666,147291,147291,158,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.4652554249914829
INST_039,2,1,CORE,1.0,1.0,147291,147291,22790,8317,801,5,3.999992750018375,4.0,0,0,10,791,SOLVABLE,2.138663881996763
INST_040,1,2,CORE,1.0,1.0,147291,147291,1083,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.394195012995624
INST_041,2,1,CORE,0.995260663507109,0.9838709677419356,147291,147291,1881,806,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,2.068526185990777
INST_042,1,2,HALO,0.868421052631579,0.7659574468085106,147291,147291,6983,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.4135540520073846
INST_043,1,2,CORE,1.0,1.0,147291,147291,4,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.4155809060030151
INST_044,1,2,CORE,0.9104477611940298,0.8333333333333334,147291,147291,8464,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.4841223569965223
INST_045,1,2,CORE,0.985781990521327,0.9803921568627452,147291,147291,11009,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3563754899951164
INST_046,1,2,CORE,1.0,1.0,147291,147291,93,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.4159044299885863
INST_047,1,2,CORE,1.0,1.0,147291,147291,6303,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3614387109992094
INST_048,1,2,CORE,1.0,1.0,147291,147291,1,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3940377909893868
INST_049,1,2,CORE,1.0,1.0,147291,147291,4,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3833118160109734
