group_type,group_value,n_reachable_stage5c,robust_n_tau_0.80,robust_rate_tau_0.80,robust_n_tau_0.90,robust_rate_tau_0.90,robust_n_tau_0.95,robust_rate_tau_0.95
OVERALL,ALL,19,10,0.5263157894736842,10,0.5263157894736842,10,0.5263157894736842
REFERENCE_PROFILE,1,10,10,1.0,10,1.0,10,1.0
REFERENCE_PROFILE,2,9,0,0.0,0,0.0,0,0.0
CERTAINTY_CLASS,BOUNDARY,6,6,1.0,6,1.0,6,1.0
CERTAINTY_CLASS,CORE,10,1,0.1,1,0.1,1,0.1
CERTAINTY_CLASS,HALO,3,3,1.0,3,1.0,3,1.0
