institution_id,reference_profile,target_profile,certainty_class,saved_candidates,maximum_ensemble_support,minimum_ensemble_support,median_ensemble_support,best_available_candidate_id,best_available_support,best_available_cost,robustly_reachable_tau_0.80,valid_candidate_count_tau_0.80,best_candidate_id_tau_0.80,best_candidate_cost_tau_0.80,best_candidate_support_tau_0.80,best_candidate_min_family_support_tau_0.80,robustly_reachable_tau_0.90,valid_candidate_count_tau_0.90,best_candidate_id_tau_0.90,best_candidate_cost_tau_0.90,best_candidate_support_tau_0.90,best_candidate_min_family_support_tau_0.90,robustly_reachable_tau_0.95,valid_candidate_count_tau_0.95,best_candidate_id_tau_0.95,best_candidate_cost_tau_0.95,best_candidate_support_tau_0.95,best_candidate_min_family_support_tau_0.95
INST_007,1,2,BOUNDARY,5,0.9989837398373984,0.9867886178861789,0.9928861788617886,INST_007__CF01,0.9989837398373984,3.2499945000122503,True,5,INST_007__CF01,3.2499945000122503,0.9989837398373984,0.9959016393442623,True,5,INST_007__CF01,3.2499945000122503,0.9989837398373984,0.9959016393442623,True,5,INST_007__CF01,3.2499945000122503,0.9989837398373984,0.9959016393442623
INST_019,1,2,BOUNDARY,4,0.9989837398373984,0.9532520325203252,0.9888211382113821,INST_019__CF03,0.9989837398373984,3.99999400001225,True,4,INST_019__CF01,3.249995250009125,0.9796747967479674,0.9713114754098361,True,4,INST_019__CF01,3.249995250009125,0.9796747967479674,0.9713114754098361,True,4,INST_019__CF01,3.249995250009125,0.9796747967479674,0.9713114754098361
INST_022,2,1,CORE,2,0.47764227642276424,0.4563008130081301,0.46697154471544716,INST_022__CF02,0.47764227642276424,6.99998550003725,False,0,,,,,False,0,,,,,False,0,,,,
INST_023,1,2,BOUNDARY,4,0.9989837398373984,0.9522357723577236,0.9969512195121951,INST_023__CF04,0.9989837398373984,2.999996000008,True,4,INST_023__CF01,1.499998000004,0.9522357723577236,0.9139344262295082,True,4,INST_023__CF01,1.499998000004,0.9522357723577236,0.9139344262295082,True,4,INST_023__CF01,1.499998000004,0.9522357723577236,0.9139344262295082
INST_025,1,2,BOUNDARY,1,0.9979674796747967,0.9979674796747967,0.9979674796747967,INST_025__CF01,0.9979674796747967,4.499993000013999,True,1,INST_025__CF01,4.499993000013999,0.9979674796747967,0.9958333333333333,True,1,INST_025__CF01,4.499993000013999,0.9979674796747967,0.9958333333333333,True,1,INST_025__CF01,4.499993000013999,0.9979674796747967,0.9958333333333333
INST_027,2,1,CORE,4,0.36077235772357724,0.27947154471544716,0.328760162601626,INST_027__CF03,0.36077235772357724,7.499983250045126,False,0,,,,,False,0,,,,,False,0,,,,
INST_030,1,2,CORE,2,0.991869918699187,0.9796747967479674,0.9857723577235772,INST_030__CF02,0.991869918699187,7.166654777800963,True,2,INST_030__CF01,6.999988000024,0.9796747967479674,0.9631147540983607,True,2,INST_030__CF01,6.999988000024,0.9796747967479674,0.9631147540983607,True,2,INST_030__CF01,6.999988000024,0.9796747967479674,0.9631147540983607
INST_033,1,2,HALO,3,0.9989837398373984,0.9888211382113821,0.9989837398373984,INST_033__CF02,0.9989837398373984,4.749989500028501,True,3,INST_033__CF01,4.4999910000242505,0.9888211382113821,0.9833333333333333,True,3,INST_033__CF01,4.4999910000242505,0.9888211382113821,0.9833333333333333,True,3,INST_033__CF01,4.4999910000242505,0.9888211382113821,0.9833333333333333
INST_034,2,1,CORE,5,0.4573170731707317,0.3363821138211382,0.3902439024390244,INST_034__CF01,0.4573170731707317,5.499989750024626,False,0,,,,,False,0,,,,,False,0,,,,
INST_036,2,1,CORE,1,0.4186991869918699,0.4186991869918699,0.4186991869918699,INST_036__CF01,0.4186991869918699,6.499986250035376,False,0,,,,,False,0,,,,,False,0,,,,
INST_037,2,1,CORE,1,0.39227642276422764,0.39227642276422764,0.39227642276422764,INST_037__CF01,0.39227642276422764,8.499980000054501,False,0,,,,,False,0,,,,,False,0,,,,
INST_039,2,1,CORE,5,0.4105691056910569,0.31402439024390244,0.3516260162601626,INST_039__CF03,0.4105691056910569,4.499990750025376,False,0,,,,,False,0,,,,,False,0,,,,
INST_054,2,1,CORE,5,0.42784552845528456,0.3567073170731707,0.3861788617886179,INST_054__CF01,0.42784552845528456,4.9999905000235,False,0,,,,,False,0,,,,,False,0,,,,
INST_064,1,2,BOUNDARY,5,0.9989837398373984,0.7103658536585366,0.9827235772357723,INST_064__CF04,0.9989837398373984,2.999994000015,True,4,INST_064__CF02,2.499996000008,0.9949186991869918,0.9877049180327869,True,4,INST_064__CF02,2.499996000008,0.9949186991869918,0.9877049180327869,True,4,INST_064__CF02,2.499996000008,0.9949186991869918,0.9877049180327869
INST_065,2,1,CORE,5,0.3556910569105691,0.3119918699186992,0.31402439024390244,INST_065__CF03,0.3556910569105691,5.249989000028,False,0,,,,,False,0,,,,,False,0,,,,
