cluster_id,cluster_size,feature,mean,median,std,sample_overall_mean,cluster_mean_z_vs_sample
1,68,willingness_constraint_score,0.40441176470588236,0.25,0.3085516592512348,0.345679012345679,0.18752057234476424
1,68,digital_usage_constraint_score,0.1323529411764706,0.0,0.21655914578484362,0.22633744855967078,-0.3040506961559962
1,68,training_deficit_score,0.6544117647058824,0.75,0.30244467782242096,0.6141975308641975,0.13435953710870216
1,68,device_constraint,0.18137254901960786,0.0,0.2110844111288133,0.28395061728395055,-0.3305072540877111
1,68,digital_tool_variety_constraint,0.3676470588235294,0.4,0.1643087523859376,0.4469135802469135,-0.33041429312880244
1,68,internet_stability_constraint,0.1801470588235294,0.25,0.19241972660112117,0.2716049382716049,-0.3222431176489215
1,68,staffing_constraint_score,0.5698529411764706,0.5,0.2657206065353025,0.5339506172839507,0.13816744171807097
1,68,time_constraint_score,0.625,0.75,0.30997111083492734,0.5709876543209876,0.17023217435896068
1,68,administrative_disorganization_constraint,0.5514705882352942,0.5,0.33053220181318144,0.4845679012345679,0.19491211431351188
1,68,recording_system_constraint,0.3333333333333333,0.3333333333333333,0.29365879728106875,0.44032921810699593,-0.29537826959282415
1,68,system_change_resistance_constraint,0.6213235294117647,0.5,0.26447867285156945,0.5432098765432098,0.2571578139596352
1,68,admin_time_load_constraint,0.6715686274509802,0.6666666666666666,0.3231922401229645,0.6296296296296297,0.12988979050024396
1,68,resource_constraint_score,0.35661764705882354,0.25,0.30638776666918394,0.4537037037037037,-0.271090825710624
2,13,willingness_constraint_score,0.038461538461538464,0.0,0.09388345202485134,0.345679012345679,-0.980876839957228
2,13,digital_usage_constraint_score,0.717948717948718,0.6666666666666666,0.2668802563418119,0.22633744855967078,1.5904190260467497
2,13,training_deficit_score,0.40384615384615385,0.5,0.19198691194707612,0.6141975308641975,-0.7028037325685947
2,13,device_constraint,0.8205128205128204,0.6666666666666666,0.17295817388759027,0.28395061728395055,1.7288071752280285
2,13,digital_tool_variety_constraint,0.8615384615384616,0.8,0.12608503439122304,0.4469135802469135,1.728320917904506
2,13,internet_stability_constraint,0.75,0.75,0.2041241452319315,0.2716049382716049,1.6855793846251281
2,13,staffing_constraint_score,0.34615384615384615,0.25,0.12659242088545833,0.5339506172839507,-0.722722002832988
2,13,time_constraint_score,0.28846153846153844,0.25,0.20016019225635892,0.5709876543209876,-0.890445219723794
2,13,administrative_disorganization_constraint,0.1346153846153846,0.0,0.1650563229433812,0.4845679012345679,-1.019540290255292
2,13,recording_system_constraint,1.0,1.0,0.0,0.44032921810699593,1.545055564024002
2,13,system_change_resistance_constraint,0.1346153846153846,0.25,0.1297186304156927,0.5432098765432098,-1.3451331807119375
2,13,admin_time_load_constraint,0.41025641025641024,0.3333333333333333,0.24167035069399473,0.6296296296296297,-0.6794235195397408
2,13,resource_constraint_score,0.9615384615384616,1.0,0.09388345202485135,0.4537037037037037,1.4180135498709563
