institution_id,willingness_constraint_score,digital_usage_constraint_score,training_deficit_score,device_constraint,digital_tool_variety_constraint,internet_stability_constraint,staffing_constraint_score,time_constraint_score,administrative_disorganization_constraint,recording_system_constraint,system_change_resistance_constraint,admin_time_load_constraint,resource_constraint_score,cluster_id,friction_archetype
INST_034,0.0,0.6666666666666666,0.5,0.6666666666666666,0.8,0.5,0.5,0.25,0.0,1.0,0.25,0.3333333333333333,1.0,2,Infrastructure-Limited
INST_035,1.0,0.0,1.0,0.0,0.2,0.0,0.75,0.5,1.0,0.0,1.0,0.6666666666666666,0.25,1,Organizationally-Limited
INST_036,0.0,0.3333333333333333,0.0,1.0,0.8,0.75,0.5,0.25,0.25,1.0,0.25,0.3333333333333333,1.0,2,Infrastructure-Limited
INST_037,0.0,1.0,0.25,1.0,1.0,1.0,0.25,0.5,0.25,1.0,0.25,0.6666666666666666,1.0,2,Infrastructure-Limited
INST_038,0.25,0.0,1.0,0.0,0.2,0.0,0.25,0.25,0.5,0.0,0.75,0.3333333333333333,0.0,1,Organizationally-Limited
INST_039,0.0,0.6666666666666666,0.75,0.6666666666666666,0.8,0.5,0.5,0.25,0.25,1.0,0.25,0.3333333333333333,0.75,2,Infrastructure-Limited
INST_040,0.0,0.0,0.75,0.0,0.4,0.25,0.5,0.75,0.25,0.3333333333333333,0.5,1.0,0.25,1,Organizationally-Limited
INST_041,0.0,0.6666666666666666,0.5,0.6666666666666666,0.8,0.75,0.25,0.25,0.0,1.0,0.0,0.3333333333333333,1.0,2,Infrastructure-Limited
INST_042,0.25,0.0,0.25,0.0,0.4,0.25,0.25,0.25,0.25,0.3333333333333333,0.5,0.3333333333333333,0.25,1,Organizationally-Limited
INST_043,0.75,0.0,1.0,0.0,0.2,0.75,0.5,0.75,1.0,0.0,1.0,0.6666666666666666,0.25,1,Organizationally-Limited
INST_044,0.0,0.0,0.25,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,1,Human-Capacity-Limited
INST_045,0.5,0.0,1.0,0.3333333333333333,0.6,0.25,0.75,0.75,0.5,0.6666666666666666,0.5,0.3333333333333333,1.0,1,Human-Capacity-Limited
INST_046,0.25,0.0,1.0,0.0,0.2,0.0,0.25,0.5,0.5,0.0,0.5,0.6666666666666666,0.0,1,Organizationally-Limited
INST_047,0.0,0.0,0.5,0.0,0.8,0.25,0.5,1.0,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5,1,Organizationally-Limited
INST_048,1.0,0.0,1.0,0.3333333333333333,0.2,0.25,0.5,0.5,1.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1,Organizationally-Limited
INST_049,0.75,0.0,1.0,0.3333333333333333,0.4,0.25,0.75,0.5,1.0,0.3333333333333333,0.75,0.6666666666666666,0.25,1,Organizationally-Limited
INST_050,0.0,0.0,1.0,0.0,0.4,0.0,0.25,0.25,0.5,0.0,0.5,0.3333333333333333,0.0,1,Organizationally-Limited
INST_051,0.0,1.0,0.5,1.0,1.0,0.75,0.25,0.0,0.0,1.0,0.0,0.0,1.0,2,Infrastructure-Limited
INST_052,0.0,0.0,0.25,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,1,Human-Capacity-Limited
INST_053,0.25,0.0,0.75,0.0,0.4,0.25,0.75,0.75,0.5,0.3333333333333333,0.75,0.6666666666666666,0.75,1,Organizationally-Limited
INST_054,0.0,0.3333333333333333,0.25,0.6666666666666666,0.8,0.75,0.25,0.25,0.0,1.0,0.0,0.6666666666666666,0.75,2,Infrastructure-Limited
INST_055,0.25,0.0,0.5,0.0,0.2,0.0,1.0,1.0,0.75,0.0,0.5,1.0,0.25,1,Organizationally-Limited
INST_056,0.5,0.6666666666666666,0.5,0.3333333333333333,0.4,0.25,1.0,1.0,0.75,0.3333333333333333,0.75,1.0,0.5,1,Organizationally-Limited
INST_057,0.25,0.0,0.5,0.3333333333333333,0.4,0.0,0.75,1.0,0.75,0.3333333333333333,0.75,1.0,0.25,1,Organizationally-Limited
INST_058,0.75,0.3333333333333333,0.75,0.3333333333333333,0.4,0.0,0.75,1.0,0.75,0.6666666666666666,1.0,1.0,0.25,1,Organizationally-Limited
INST_059,0.75,0.3333333333333333,1.0,0.3333333333333333,0.4,0.25,0.75,0.5,1.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1,Organizationally-Limited
INST_060,0.75,0.0,1.0,0.0,0.2,0.0,0.25,0.25,0.5,0.0,1.0,0.3333333333333333,0.0,1,Organizationally-Limited
INST_061,0.25,0.3333333333333333,0.5,0.3333333333333333,0.4,0.25,1.0,1.0,0.25,0.3333333333333333,0.5,1.0,0.25,1,Organizationally-Limited
INST_062,0.5,0.0,0.25,0.0,0.2,0.0,0.0,0.5,0.25,0.3333333333333333,0.5,1.0,0.25,1,Organizationally-Limited
INST_063,0.0,0.0,0.25,0.0,0.2,0.0,0.25,0.25,0.0,0.0,0.25,0.3333333333333333,0.0,1,Organizationally-Limited
INST_064,0.0,0.3333333333333333,0.25,0.3333333333333333,0.6,0.25,0.5,0.25,1.0,0.6666666666666666,0.25,0.3333333333333333,0.75,1,Organizationally-Limited
INST_065,0.25,0.6666666666666666,0.25,0.6666666666666666,0.8,0.75,0.25,0.5,0.25,1.0,0.25,0.6666666666666666,1.0,2,Infrastructure-Limited
INST_066,0.0,0.3333333333333333,0.25,0.3333333333333333,0.6,0.25,0.5,0.25,1.0,0.6666666666666666,0.25,0.3333333333333333,0.75,1,Organizationally-Limited
INST_067,0.5,0.3333333333333333,0.5,0.3333333333333333,0.6,0.25,0.75,0.75,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25,1,Organizationally-Limited
INST_068,0.5,0.3333333333333333,0.75,0.3333333333333333,0.4,0.25,0.75,1.0,0.75,0.3333333333333333,0.75,1.0,0.5,1,Organizationally-Limited
INST_069,0.25,0.0,0.5,0.0,0.2,0.0,1.0,0.75,0.25,0.0,0.5,0.6666666666666666,0.0,1,Human-Capacity-Limited
INST_070,0.5,0.0,1.0,0.0,0.2,0.25,1.0,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333,1.0,1,Human-Capacity-Limited
INST_071,0.0,0.3333333333333333,0.5,0.6666666666666666,0.6,0.5,0.5,0.25,0.0,1.0,0.0,0.6666666666666666,1.0,2,Infrastructure-Limited
INST_072,1.0,0.0,1.0,0.0,0.2,0.0,0.75,1.0,0.0,0.0,1.0,1.0,0.25,1,Human-Capacity-Limited
INST_073,0.25,0.0,0.25,0.3333333333333333,0.4,0.5,0.5,0.75,0.0,0.6666666666666666,0.25,1.0,0.75,1,Organizationally-Limited
INST_074,0.0,1.0,0.5,1.0,1.0,1.0,0.25,0.25,0.25,1.0,0.25,0.3333333333333333,1.0,2,Infrastructure-Limited
INST_075,1.0,0.0,1.0,0.0,0.2,0.0,0.5,0.5,1.0,0.0,1.0,0.6666666666666666,0.25,1,Organizationally-Limited
INST_076,0.25,0.0,0.25,0.0,0.2,0.0,1.0,1.0,0.5,0.3333333333333333,0.25,1.0,0.25,1,Organizationally-Limited
INST_077,0.0,0.0,0.5,0.3333333333333333,0.4,0.25,0.25,0.25,0.0,0.3333333333333333,0.25,0.6666666666666666,0.25,1,Infrastructure-Limited
INST_078,0.25,0.0,0.25,0.3333333333333333,0.4,0.25,0.75,1.0,0.5,0.3333333333333333,0.25,0.6666666666666666,0.25,1,Organizationally-Limited
INST_079,0.75,0.0,1.0,0.0,0.2,0.0,0.5,0.5,1.0,0.0,1.0,0.6666666666666666,0.25,1,Organizationally-Limited
INST_080,0.75,0.0,0.5,0.3333333333333333,0.4,0.5,0.5,0.5,0.5,0.6666666666666666,0.75,1.0,0.75,1,Organizationally-Limited
INST_081,0.5,0.3333333333333333,0.75,0.3333333333333333,0.4,0.25,0.75,1.0,0.75,0.3333333333333333,0.75,1.0,0.5,1,Organizationally-Limited
