member_id,family,silhouette,davies_bouldin,calinski_harabasz,reference_ari_on_sample,ward_or_native_extension_fidelity_on_sample,minimum_sampled_cluster_size,raw_cluster_sizes_json,aligned_cluster_sizes_json
R0_WARD__M0001,R0_WARD,0.304745301430534,0.9966700336217915,22.51449338037864,1.0,0.9692307692307692,10,"{""0"": 55, ""1"": 10}","{""1"": 55, ""2"": 10}"
R0_WARD__M0002,R0_WARD,0.3407253085198061,1.002067671232239,31.694163291103937,0.7858376511226253,0.9846153846153847,13,"{""0"": 52, ""1"": 13}","{""1"": 52, ""2"": 13}"
R1_PCA85_WARD__M0001,R1_PCA85_WARD,0.37240719683966617,0.8443574000371147,29.526249175711236,1.0,1.0,10,"{""0"": 55, ""1"": 10}","{""1"": 55, ""2"": 10}"
R1_PCA85_WARD__M0002,R1_PCA85_WARD,0.40733191123398527,0.8041993026817944,38.210944844729184,1.0,1.0,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_KMEANS__M0001,R0_KMEANS,0.3430786191867776,1.0606127626044684,32.20548061721409,0.7247304362918447,1.0,14,"{""0"": 14, ""1"": 51}","{""1"": 51, ""2"": 14}"
R0_KMEANS__M0002,R0_KMEANS,0.25723875308695165,1.4221838275859962,22.675117860959457,0.39121994414549416,1.0,17,"{""0"": 48, ""1"": 17}","{""1"": 48, ""2"": 17}"
R1_PCA85_KMEANS__M0001,R1_PCA85_KMEANS,0.4552607765324286,0.7233383986213241,52.28328649650009,0.9287780992655241,1.0,13,"{""0"": 52, ""1"": 13}","{""1"": 52, ""2"": 13}"
R1_PCA85_KMEANS__M0002,R1_PCA85_KMEANS,0.4071933064634799,0.8893830095116755,45.26835125804746,0.7335181568059144,1.0,15,"{""0"": 50, ""1"": 15}","{""1"": 50, ""2"": 15}"
