institution_id,reference_profile,n_oob_predictions,ensemble_dominant_profile,ensemble_dominant_probability,reference_profile_probability,profile_1_probability,profile_2_probability,normalized_entropy,membership_margin,within_reference_profile_consensus,cross_profile_leakage,consensus_gap,family_consistency,minimum_family_dominant_probability,family_disagreement_count,ensemble_agrees_with_reference,certainty_class
INST_001,2,205,2,0.9951219512195122,0.9951219512195122,0.004878048780487805,0.9951219512195122,0.044481222616738245,0.9902439024390244,1.0,0.08368767722858887,0.9163123227714112,0.9827586206896551,0.9827586206896551,0,1,CORE
INST_002,1,213,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9279220353409238,0.0,0.9279220353409238,1.0,1.0,0,1,CORE
INST_003,1,210,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.5916727785823274,0.7142857142857142,0.8126118176417508,0.14855961530474285,0.664052202337008,0.7115384615384616,0.7115384615384616,0,1,HALO
INST_004,1,187,1,0.9946524064171123,0.9946524064171123,0.9946524064171123,0.0053475935828877,0.048052006058257886,0.9893048128342246,0.9327845330972737,0.025432019313717837,0.9073525137835559,0.9743589743589743,0.9743589743589743,0,1,CORE
INST_005,1,201,1,0.9950248756218906,0.9950248756218906,0.9950248756218906,0.004975124378109453,0.04522463667671496,0.9900497512437811,0.9276832906542655,0.007622388216237624,0.9200609024380279,0.9791666666666666,0.9791666666666666,0,1,CORE
INST_006,1,178,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9319051070389683,0.0,0.9319051070389683,1.0,1.0,0,1,CORE
INST_007,1,195,1,0.5743589743589743,0.5743589743589743,0.5743589743589743,0.4256410256410256,0.9839866005586037,0.14871794871794863,0.5901438535641511,0.4531908032603334,0.1369530503038177,0.38636363636363635,0.5925925925925926,2,1,BOUNDARY
INST_008,1,229,1,0.9563318777292577,0.9563318777292577,0.9563318777292577,0.043668122270742356,0.25886471822126444,0.9126637554585153,0.9076653941452582,0.06045550307422506,0.8472098910710331,0.9253731343283582,0.9253731343283582,0,1,CORE
INST_009,1,197,1,0.8730964467005076,0.8730964467005076,0.8730964467005076,0.12690355329949238,0.5488845983745034,0.7461928934010151,0.85630210194783,0.12609583766540447,0.7302062642824255,0.7608695652173914,0.7608695652173914,0,1,HALO
INST_010,1,194,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9302745688824337,0.0,0.9302745688824337,1.0,1.0,0,1,CORE
INST_011,1,213,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9447512929843104,0.011137931958219431,0.9336133610260909,1.0,1.0,0,1,CORE
INST_012,1,195,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9427986818961311,0.012796704388833163,0.930001977507298,1.0,1.0,0,1,CORE
INST_013,1,185,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9340298082426918,0.0,0.9340298082426918,1.0,1.0,0,1,CORE
INST_014,1,215,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9459061827996064,0.010256931873473216,0.9356492509261332,1.0,1.0,0,1,CORE
INST_015,1,202,1,0.8762376237623762,0.8762376237623762,0.8762376237623762,0.12376237623762376,0.5400798634000192,0.7524752475247525,0.8739340667572629,0.14265929013590606,0.7312747766213569,0.8222222222222222,0.8222222222222222,0,1,HALO
INST_016,1,184,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.939459917792418,0.0,0.939459917792418,1.0,1.0,0,1,CORE
INST_017,1,196,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9348040054480192,0.0,0.9348040054480192,1.0,1.0,0,1,CORE
INST_018,1,181,1,0.8674033149171271,0.8674033149171271,0.8674033149171271,0.13259668508287292,0.5645168396064475,0.7348066298342542,0.8700109266363939,0.1544126053588512,0.7155983212775427,0.7959183673469388,0.7959183673469388,0,1,HALO
INST_019,1,203,1,0.6945812807881774,0.6945812807881774,0.6945812807881774,0.3054187192118227,0.8878141835289391,0.38916256157635476,0.7112715070757656,0.3490408002594891,0.3622307068162765,0.5531914893617021,0.5531914893617021,0,1,BOUNDARY
INST_020,1,206,1,0.9611650485436893,0.9611650485436893,0.9611650485436893,0.038834951456310676,0.23692474671835084,0.9223300970873787,0.915618588286733,0.04501162642045265,0.8706069618662804,0.9411764705882353,0.9411764705882353,0,1,CORE
INST_021,1,199,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.941536467957903,0.0,0.941536467957903,1.0,1.0,0,1,CORE
INST_022,2,215,2,0.9953488372093023,0.9953488372093023,0.004651162790697674,0.9953488372093023,0.042732686380876794,0.9906976744186047,1.0,0.07093303428289968,0.9290669657171003,0.9814814814814815,0.9814814814814815,0,1,CORE
INST_023,1,196,2,0.7602040816326531,0.23979591836734693,0.23979591836734693,0.7602040816326531,0.7947007340248459,0.5204081632653061,0.2824392686140726,0.769259547608051,-0.48682027899397845,0.13043478260869565,0.625,0,0,BOUNDARY
INST_024,1,195,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9401294305760014,0.0,0.9401294305760014,1.0,1.0,0,1,CORE
