institution_id,reference_profile,family,n_oob_predictions,family_dominant_profile,family_dominant_probability,family_reference_profile_probability,profile_1_probability,profile_2_probability
INST_016,1,R0_KMEANS,44,1,1.0,1.0,1.0,0.0
INST_016,1,R1_PCA85_KMEANS,49,1,1.0,1.0,1.0,0.0
INST_017,1,R0_WARD,52,1,1.0,1.0,1.0,0.0
INST_017,1,R1_PCA85_WARD,49,1,1.0,1.0,1.0,0.0
INST_017,1,R0_KMEANS,48,1,1.0,1.0,1.0,0.0
INST_017,1,R1_PCA85_KMEANS,47,1,1.0,1.0,1.0,0.0
INST_018,1,R0_WARD,38,1,0.868421052631579,0.868421052631579,0.868421052631579,0.13157894736842105
INST_018,1,R1_PCA85_WARD,50,1,0.98,0.98,0.98,0.02
INST_018,1,R0_KMEANS,49,1,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.20408163265306123
INST_018,1,R1_PCA85_KMEANS,44,1,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.18181818181818182
INST_019,1,R0_WARD,45,1,0.8222222222222222,0.8222222222222222,0.8222222222222222,0.17777777777777778
INST_019,1,R1_PCA85_WARD,59,1,0.8135593220338984,0.8135593220338984,0.8135593220338984,0.1864406779661017
INST_019,1,R0_KMEANS,52,1,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.4230769230769231
INST_019,1,R1_PCA85_KMEANS,47,1,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.44680851063829785
INST_020,1,R0_WARD,52,1,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.057692307692307696
INST_020,1,R1_PCA85_WARD,49,1,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.04081632653061224
INST_020,1,R0_KMEANS,51,1,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.058823529411764705
INST_020,1,R1_PCA85_KMEANS,54,1,1.0,1.0,1.0,0.0
INST_021,1,R0_WARD,58,1,1.0,1.0,1.0,0.0
INST_021,1,R1_PCA85_WARD,42,1,1.0,1.0,1.0,0.0
INST_021,1,R0_KMEANS,45,1,1.0,1.0,1.0,0.0
INST_021,1,R1_PCA85_KMEANS,54,1,1.0,1.0,1.0,0.0
INST_022,2,R0_WARD,54,2,0.9814814814814815,0.9814814814814815,0.018518518518518517,0.9814814814814815
INST_022,2,R1_PCA85_WARD,53,2,1.0,1.0,0.0,1.0
INST_022,2,R0_KMEANS,59,2,1.0,1.0,0.0,1.0
INST_022,2,R1_PCA85_KMEANS,49,2,1.0,1.0,0.0,1.0
INST_023,1,R0_WARD,48,2,0.625,0.375,0.375,0.625
INST_023,1,R1_PCA85_WARD,57,2,0.7543859649122807,0.24561403508771928,0.24561403508771928,0.7543859649122807
INST_023,1,R0_KMEANS,45,2,0.8,0.2,0.2,0.8
INST_023,1,R1_PCA85_KMEANS,46,2,0.8695652173913043,0.13043478260869565,0.13043478260869565,0.8695652173913043
INST_024,1,R0_WARD,40,1,1.0,1.0,1.0,0.0
INST_024,1,R1_PCA85_WARD,55,1,1.0,1.0,1.0,0.0
INST_024,1,R0_KMEANS,49,1,1.0,1.0,1.0,0.0
INST_024,1,R1_PCA85_KMEANS,51,1,1.0,1.0,1.0,0.0
INST_025,1,R0_WARD,61,1,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.13114754098360656
INST_025,1,R1_PCA85_WARD,51,1,0.803921568627451,0.803921568627451,0.803921568627451,0.19607843137254902
INST_025,1,R0_KMEANS,43,1,0.7209302325581395,0.7209302325581395,0.7209302325581395,0.27906976744186046
INST_025,1,R1_PCA85_KMEANS,38,1,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.42105263157894735
INST_026,1,R0_WARD,51,1,1.0,1.0,1.0,0.0
INST_026,1,R1_PCA85_WARD,51,1,1.0,1.0,1.0,0.0
INST_026,1,R0_KMEANS,46,1,1.0,1.0,1.0,0.0
