reference_profile,family,institutions,median_reference_probability,minimum_reference_probability,median_oob_predictions
1,R0_KMEANS,68,1.0,0.2,49.0
1,R0_WARD,68,1.0,0.375,49.0
1,R1_PCA85_KMEANS,68,1.0,0.13043478260869565,49.0
1,R1_PCA85_WARD,68,1.0,0.24561403508771928,50.0
2,R0_KMEANS,13,1.0,1.0,50.0
2,R0_WARD,13,1.0,0.9791666666666666,51.0
2,R1_PCA85_KMEANS,13,1.0,1.0,48.0
2,R1_PCA85_WARD,13,1.0,1.0,49.0
