family,members,silhouette_q025,silhouette_median,silhouette_q975,reference_ari_q025,reference_ari_median,reference_ari_q975,extension_fidelity_min,minimum_cluster_size_min
R0_KMEANS,250,0.2732526823270411,0.3290115224671246,0.39582208056280704,0.24191455338298673,0.6813467905539279,1.0,1.0,7
R0_WARD,250,0.26383113840637423,0.3582366483328156,0.408230612852839,0.213137859980428,1.0,1.0,0.9076923076923076,6
R1_PCA85_KMEANS,250,0.30600876323263915,0.3812341601439556,0.4556153606963358,0.25989867489006413,0.6813467905539279,1.0,1.0,8
R1_PCA85_WARD,250,0.30566806166000876,0.40819777210433894,0.4679632025034416,0.19294014050712383,1.0,1.0,0.9076923076923076,6
