score,error_vs_current_code,error_vs_paper_formula
ICI,8.326672684688674e-17,0.2333333333333334
OCI,5.551115123125783e-17,0.33333333333333337
OLI,5.551115123125783e-17,0.8333333333333334
HCARI,8.326672684688674e-17,0.29761904761904767
AFS_theoretical,8.326672684688674e-17,0.1701785714285715
