dimension,group,n,solvable,coverage,plausibility_failures,no_transition_failures
REFERENCE_PROFILE,1,68,10,0.14705882352941177,50,8
REFERENCE_PROFILE,2,13,9,0.6923076923076923,4,0
CERTAINTY_CLASS,BOUNDARY,6,6,1.0,0,0
CERTAINTY_CLASS,CORE,66,10,0.15151515151515152,48,8
CERTAINTY_CLASS,HALO,9,3,0.3333333333333333,6,0
