institution_id,INST_001,INST_002,INST_003,INST_004,INST_005,INST_006,INST_007,INST_008,INST_009,INST_010,INST_011,INST_012,INST_013,INST_014,INST_015,INST_016,INST_017,INST_018,INST_019,INST_020,INST_021,INST_022,INST_023,INST_024,INST_025,INST_026,INST_027,INST_028,INST_029,INST_030,INST_031,INST_032,INST_033,INST_034,INST_035,INST_036,INST_037,INST_038,INST_039,INST_040,INST_041,INST_042,INST_043,INST_044,INST_045,INST_046,INST_047,INST_048,INST_049,INST_050,INST_051,INST_052,INST_053,INST_054,INST_055,INST_056,INST_057,INST_058,INST_059,INST_060,INST_061,INST_062,INST_063,INST_064,INST_065,INST_066,INST_067,INST_068,INST_069,INST_070,INST_071,INST_072,INST_073,INST_074,INST_075,INST_076,INST_077,INST_078,INST_079,INST_080,INST_081
INST_050,38,43,40,35,53,34,48,45,40,42,45,31,40,51,36,35,37,32,53,52,45,40,38,37,39,33,41,36,40,51,37,36,39,37,34,36,45,39,38,32,26,32,45,37,40,45,48,47,32,207,38,38,35,40,49,33,36,39,35,38,40,35,32,47,31,31,39,41,27,29,45,37,34,38,35,43,42,36,29,38,40
INST_051,44,43,36,29,38,37,34,43,40,42,33,39,40,48,38,27,35,29,37,37,40,42,41,37,41,37,39,41,33,35,33,42,31,34,34,37,37,31,33,42,37,37,30,33,31,40,38,37,30,38,195,34,38,33,43,35,42,40,28,44,30,37,44,46,40,38,33,34,30,32,32,30,32,33,37,46,44,32,36,35,27
INST_052,32,43,42,40,44,30,34,49,40,39,43,40,40,42,27,29,35,44,31,31,33,38,34,38,41,40,40,36,35,38,40,40,35,33,34,33,36,35,38,36,42,42,34,34,40,41,42,42,42,38,34,199,36,34,36,38,34,39,30,39,35,37,35,37,35,38,38,51,40,38,36,35,41,21,38,41,53,33,28,38,32
INST_053,35,36,29,29,31,30,30,44,30,29,35,35,25,42,41,28,39,36,43,34,39,37,37,42,32,32,42,40,39,31,39,36,35,33,35,41,33,43,35,33,36,36,41,29,39,39,30,30,32,35,38,36,186,32,32,38,35,37,36,38,31,39,46,40,26,34,33,32,25,30,30,31,31,31,38,40,36,36,30,34,33
INST_054,38,44,40,36,39,31,27,39,33,31,40,33,31,37,33,26,27,29,24,33,36,42,28,27,31,40,32,34,36,37,34,38,33,28,36,32,39,36,32,42,34,34,27,34,46,40,37,37,33,40,33,34,32,183,37,34,34,34,38,39,29,42,31,47,29,38,30,44,29,25,32,33,26,31,34,41,44,40,25,28,26
INST_055,34,40,40,30,40,40,46,35,34,33,37,40,33,37,42,38,39,39,33,36,34,56,25,38,37,50,39,34,38,37,48,43,32,38,27,35,42,31,39,33,33,31,32,31,34,34,38,37,27,49,43,36,32,37,198,35,37,38,32,36,32,41,32,40,33,38,44,44,37,46,36,35,32,44,32,26,50,40,40,38,36
INST_056,44,47,37,37,31,23,42,46,36,22,34,28,40,27,42,35,33,42,36,49,33,42,34,41,36,45,35,33,43,42,26,50,36,33,46,50,39,37,37,32,37,31,28,32,34,42,32,41,42,33,35,38,38,34,35,199,41,38,36,37,39,30,32,40,41,37,40,44,34,24,38,32,44,38,38,38,50,39,38,45,39
INST_057,43,45,43,40,41,33,44,42,42,37,40,35,34,40,39,45,39,38,44,36,43,34,52,40,34,40,36,46,44,38,33,42,42,39,38,41,33,38,45,33,39,39,44,42,45,36,34,36,40,36,42,34,35,34,37,41,208,40,34,27,40,41,48,42,31,35,39,46,30,34,48,38,39,35,47,41,32,38,42,33,35
INST_058,42,38,47,35,50,35,40,41,45,37,43,39,33,40,48,30,32,35,39,36,34,43,40,34,41,36,38,38,39,31,39,47,38,38,37,56,39,40,39,40,58,37,38,48,41,38,43,43,40,39,40,39,37,34,38,38,40,212,44,35,36,40,34,48,47,39,43,46,37,40,31,44,38,38,43,35,52,37,38,38,34
INST_059,42,40,35,28,39,36,32,46,29,26,40,40,38,39,42,30,35,32,28,41,31,36,26,34,37,26,33,27,40,34,35,37,30,29,25,40,35,36,31,26,31,36,39,37,36,35,34,34,35,35,28,30,36,38,32,36,34,44,184,37,27,44,33,45,33,33,43,38,28,21,32,25,30,37,36,39,46,37,27,36,37
