institution_id,INST_001,INST_002,INST_003,INST_004,INST_005,INST_006,INST_007,INST_008,INST_009,INST_010,INST_011,INST_012,INST_013,INST_014,INST_015,INST_016,INST_017,INST_018,INST_019,INST_020,INST_021,INST_022,INST_023,INST_024,INST_025,INST_026,INST_027,INST_028,INST_029,INST_030,INST_031,INST_032,INST_033,INST_034,INST_035,INST_036,INST_037,INST_038,INST_039,INST_040,INST_041,INST_042,INST_043,INST_044,INST_045,INST_046,INST_047,INST_048,INST_049,INST_050,INST_051,INST_052,INST_053,INST_054,INST_055,INST_056,INST_057,INST_058,INST_059,INST_060,INST_061,INST_062,INST_063,INST_064,INST_065,INST_066,INST_067,INST_068,INST_069,INST_070,INST_071,INST_072,INST_073,INST_074,INST_075,INST_076,INST_077,INST_078,INST_079,INST_080,INST_081
INST_011,0.001,0.999,0.849,0.999,0.97,1.0,0.644,0.959,0.858,1.0,1.0,1.0,1.0,1.0,0.864,1.0,0.995,0.864,0.612,0.963,1.0,0.001,0.421,1.0,0.778,1.0,0.001,1.0,0.972,0.948,0.864,0.998,0.814,0.001,1.0,0.001,0.001,0.981,0.006,1.0,0.001,0.864,1.0,0.864,0.989,0.984,0.999,1.0,1.0,0.966,0.001,0.864,1.0,0.001,1.0,0.999,1.0,1.0,1.0,0.991,1.0,0.955,0.864,0.552,0.001,0.551,0.992,0.999,1.0,1.0,0.002,1.0,0.805,0.001,1.0,1.0,0.862,1.0,1.0,0.993,0.999
INST_012,0.001,0.999,0.849,0.999,0.97,1.0,0.644,0.959,0.858,1.0,1.0,1.0,1.0,1.0,0.864,1.0,0.995,0.864,0.612,0.963,1.0,0.001,0.421,1.0,0.778,1.0,0.001,1.0,0.972,0.948,0.864,0.998,0.814,0.001,1.0,0.001,0.001,0.981,0.006,1.0,0.001,0.864,1.0,0.864,0.989,0.984,0.999,1.0,1.0,0.966,0.001,0.864,1.0,0.001,1.0,0.999,1.0,1.0,1.0,0.991,1.0,0.955,0.864,0.552,0.001,0.551,0.992,0.999,1.0,1.0,0.002,1.0,0.805,0.001,1.0,1.0,0.862,1.0,1.0,0.993,0.999
INST_013,0.001,0.999,0.849,0.999,0.97,1.0,0.644,0.959,0.858,1.0,1.0,1.0,1.0,1.0,0.864,1.0,0.995,0.864,0.612,0.963,1.0,0.001,0.421,1.0,0.778,1.0,0.001,1.0,0.972,0.948,0.864,0.998,0.814,0.001,1.0,0.001,0.001,0.981,0.006,1.0,0.001,0.864,1.0,0.864,0.989,0.984,0.999,1.0,1.0,0.966,0.001,0.864,1.0,0.001,1.0,0.999,1.0,1.0,1.0,0.991,1.0,0.955,0.864,0.552,0.001,0.551,0.992,0.999,1.0,1.0,0.002,1.0,0.805,0.001,1.0,1.0,0.862,1.0,1.0,0.993,0.999
INST_014,0.001,0.999,0.849,0.999,0.97,1.0,0.644,0.959,0.858,1.0,1.0,1.0,1.0,1.0,0.864,1.0,0.995,0.864,0.612,0.963,1.0,0.001,0.421,1.0,0.778,1.0,0.001,1.0,0.972,0.948,0.864,0.998,0.814,0.001,1.0,0.001,0.001,0.981,0.006,1.0,0.001,0.864,1.0,0.864,0.989,0.984,0.999,1.0,1.0,0.966,0.001,0.864,1.0,0.001,1.0,0.999,1.0,1.0,1.0,0.991,1.0,0.955,0.864,0.552,0.001,0.551,0.992,0.999,1.0,1.0,0.002,1.0,0.805,0.001,1.0,1.0,0.862,1.0,1.0,0.993,0.999
INST_015,0.135,0.863,0.713,0.863,0.834,0.864,0.68,0.905,0.992,0.864,0.864,0.864,0.864,0.864,1.0,0.864,0.869,1.0,0.74,0.901,0.864,0.135,0.513,0.864,0.642,0.864,0.135,0.864,0.838,0.812,1.0,0.866,0.932,0.135,0.864,0.135,0.135,0.883,0.14,0.864,0.135,0.998,0.864,1.0,0.853,0.88,0.865,0.864,0.864,0.898,0.135,1.0,0.864,0.135,0.864,0.863,0.864,0.864,0.864,0.873,0.864,0.909,1.0,0.68,0.135,0.681,0.858,0.863,0.864,0.864,0.136,0.864,0.911,0.135,0.864,0.864,0.996,0.864,0.864,0.859,0.863
INST_016,0.001,0.999,0.849,0.999,0.97,1.0,0.644,0.959,0.858,1.0,1.0,1.0,1.0,1.0,0.864,1.0,0.995,0.864,0.612,0.963,1.0,0.001,0.421,1.0,0.778,1.0,0.001,1.0,0.972,0.948,0.864,0.998,0.814,0.001,1.0,0.001,0.001,0.981,0.006,1.0,0.001,0.864,1.0,0.864,0.989,0.984,0.999,1.0,1.0,0.966,0.001,0.864,1.0,0.001,1.0,0.999,1.0,1.0,1.0,0.991,1.0,0.955,0.864,0.552,0.001,0.551,0.992,0.999,1.0,1.0,0.002,1.0,0.805,0.001,1.0,1.0,0.862,1.0,1.0,0.993,0.999
INST_017,0.004,0.994,0.844,0.994,0.965,0.995,0.639,0.964,0.863,0.995,0.995,0.995,0.995,0.995,0.869,0.995,1.0,0.869,0.615,0.968,0.995,0.004,0.422,0.995,0.773,0.995,0.004,0.995,0.967,0.943,0.869,0.993,0.817,0.004,0.995,0.004,0.004,0.986,0.009,0.995,0.004,0.869,0.995,0.869,0.984,0.987,0.994,0.995,0.995,0.971,0.004,0.869,0.995,0.004,0.995,0.994,0.995,0.995,0.995,0.994,0.995,0.96,0.869,0.555,0.004,0.554,0.987,0.994,0.995,0.995,0.005,0.995,0.806,0.004,0.995,0.995,0.867,0.995,0.995,0.988,0.994
INST_018,0.135,0.863,0.713,0.863,0.834,0.864,0.68,0.905,0.992,0.864,0.864,0.864,0.864,0.864,1.0,0.864,0.869,1.0,0.74,0.901,0.864,0.135,0.513,0.864,0.642,0.864,0.135,0.864,0.838,0.812,1.0,0.866,0.932,0.135,0.864,0.135,0.135,0.883,0.14,0.864,0.135,0.998,0.864,1.0,0.853,0.88,0.865,0.864,0.864,0.898,0.135,1.0,0.864,0.135,0.864,0.863,0.864,0.864,0.864,0.873,0.864,0.909,1.0,0.68,0.135,0.681,0.858,0.863,0.864,0.864,0.136,0.864,0.911,0.135,0.864,0.864,0.996,0.864,0.864,0.859,0.863
INST_019,0.389,0.613,0.705,0.613,0.642,0.612,0.8,0.647,0.748,0.612,0.612,0.612,0.612,0.612,0.74,0.612,0.615,0.74,1.0,0.647,0.612,0.389,0.749,0.612,0.698,0.612,0.389,0.612,0.64,0.656,0.74,0.614,0.784,0.389,0.612,0.389,0.389,0.629,0.394,0.612,0.389,0.74,0.612,0.74,0.623,0.626,0.613,0.612,0.612,0.644,0.389,0.74,0.612,0.389,0.612,0.613,0.612,0.612,0.612,0.619,0.612,0.651,0.74,0.938,0.389,0.937,0.62,0.613,0.612,0.612,0.39,0.612,0.801,0.389,0.612,0.612,0.742,0.612,0.612,0.619,0.613
INST_020,0.036,0.962,0.812,0.962,0.933,0.963,0.639,0.992,0.895,0.963,0.963,0.963,0.963,0.963,0.901,0.963,0.968,0.901,0.647,1.0,0.963,0.036,0.444,0.963,0.741,0.963,0.036,0.963,0.937,0.911,0.901,0.965,0.845,0.036,0.963,0.036,0.036,0.982,0.041,0.963,0.036,0.901,0.963,0.901,0.952,0.979,0.964,0.963,0.963,0.995,0.036,0.901,0.963,0.036,0.963,0.962,0.963,0.963,0.963,0.972,0.963,0.97,0.901,0.587,0.036,0.586,0.957,0.962,0.963,0.963,0.037,0.963,0.826,0.036,0.963,0.963,0.899,0.963,0.963,0.956,0.962
INST_021,0.001,0.999,0.849,0.999,0.97,1.0,0.644,0.959,0.858,1.0,1.0,1.0,1.0,1.0,0.864,1.0,0.995,0.864,0.612,0.963,1.0,0.001,0.421,1.0,0.778,1.0,0.001,1.0,0.972,0.948,0.864,0.998,0.814,0.001,1.0,0.001,0.001,0.981,0.006,1.0,0.001,0.864,1.0,0.864,0.989,0.984,0.999,1.0,1.0,0.966,0.001,0.864,1.0,0.001,1.0,0.999,1.0,1.0,1.0,0.991,1.0,0.955,0.864,0.552,0.001,0.551,0.992,0.999,1.0,1.0,0.002,1.0,0.805,0.001,1.0,1.0,0.862,1.0,1.0,0.993,0.999
INST_022,1.0,0.002,0.152,0.002,0.031,0.001,0.357,0.04,0.141,0.001,0.001,0.001,0.001,0.001,0.135,0.001,0.004,0.135,0.389,0.036,0.001,1.0,0.58,0.001,0.223,0.001,1.0,0.001,0.029,0.053,0.135,0.003,0.187,1.0,0.001,1.0,1.0,0.018,0.995,0.001,1.0,0.135,0.001,0.135,0.012,0.015,0.002,0.001,0.001,0.033,1.0,0.135,0.001,1.0,0.001,0.002,0.001,0.001,0.001,0.008,0.001,0.044,0.135,0.449,1.0,0.45,0.009,0.002,0.001,0.001,0.999,0.001,0.196,1.0,0.001,0.001,0.137,0.001,0.001,0.008,0.002
INST_023,0.58,0.422,0.572,0.422,0.451,0.421,0.713,0.442,0.521,0.421,0.421,0.421,0.421,0.421,0.513,0.421,0.422,0.513,0.749,0.444,0.421,0.58,1.0,0.421,0.625,0.421,0.58,0.421,0.449,0.473,0.513,0.423,0.571,0.58,0.421,0.58,0.58,0.428,0.585,0.421,0.58,0.515,0.421,0.513,0.432,0.427,0.422,0.421,0.421,0.439,0.58,0.513,0.421,0.58,0.421,0.422,0.421,0.421,0.421,0.422,0.421,0.43,0.513,0.789,0.58,0.786,0.429,0.422,0.421,0.421,0.581,0.421,0.584,0.58,0.421,0.421,0.515,0.421,0.421,0.426,0.422
INST_024,0.001,0.999,0.849,0.999,0.97,1.0,0.644,0.959,0.858,1.0,1.0,1.0,1.0,1.0,0.864,1.0,0.995,0.864,0.612,0.963,1.0,0.001,0.421,1.0,0.778,1.0,0.001,1.0,0.972,0.948,0.864,0.998,0.814,0.001,1.0,0.001,0.001,0.981,0.006,1.0,0.001,0.864,1.0,0.864,0.989,0.984,0.999,1.0,1.0,0.966,0.001,0.864,1.0,0.001,1.0,0.999,1.0,1.0,1.0,0.991,1.0,0.955,0.864,0.552,0.001,0.551,0.992,0.999,1.0,1.0,0.002,1.0,0.805,0.001,1.0,1.0,0.862,1.0,1.0,0.993,0.999
INST_025,0.223,0.779,0.929,0.779,0.808,0.778,0.8,0.737,0.644,0.778,0.778,0.778,0.778,0.778,0.642,0.778,0.773,0.642,0.698,0.741,0.778,0.223,0.625,0.778,1.0,0.778,0.223,0.778,0.804,0.83,0.642,0.776,0.674,0.223,0.778,0.223,0.223,0.759,0.226,0.778,0.223,0.642,0.778,0.642,0.789,0.762,0.777,0.778,0.778,0.744,0.223,0.642,0.778,0.223,0.778,0.779,0.778,0.778,0.778,0.769,0.778,0.733,0.642,0.692,0.223,0.691,0.784,0.779,0.778,0.778,0.224,0.778,0.691,0.223,0.778,0.778,0.64,0.778,0.778,0.783,0.779
INST_026,0.001,0.999,0.849,0.999,0.97,1.0,0.644,0.959,0.858,1.0,1.0,1.0,1.0,1.0,0.864,1.0,0.995,0.864,0.612,0.963,1.0,0.001,0.421,1.0,0.778,1.0,0.001,1.0,0.972,0.948,0.864,0.998,0.814,0.001,1.0,0.001,0.001,0.981,0.006,1.0,0.001,0.864,1.0,0.864,0.989,0.984,0.999,1.0,1.0,0.966,0.001,0.864,1.0,0.001,1.0,0.999,1.0,1.0,1.0,0.991,1.0,0.955,0.864,0.552,0.001,0.551,0.992,0.999,1.0,1.0,0.002,1.0,0.805,0.001,1.0,1.0,0.862,1.0,1.0,0.993,0.999
INST_027,1.0,0.002,0.152,0.002,0.031,0.001,0.357,0.04,0.141,0.001,0.001,0.001,0.001,0.001,0.135,0.001,0.004,0.135,0.389,0.036,0.001,1.0,0.58,0.001,0.223,0.001,1.0,0.001,0.029,0.053,0.135,0.003,0.187,1.0,0.001,1.0,1.0,0.018,0.995,0.001,1.0,0.135,0.001,0.135,0.012,0.015,0.002,0.001,0.001,0.033,1.0,0.135,0.001,1.0,0.001,0.002,0.001,0.001,0.001,0.008,0.001,0.044,0.135,0.449,1.0,0.45,0.009,0.002,0.001,0.001,0.999,0.001,0.196,1.0,0.001,0.001,0.137,0.001,0.001,0.008,0.002
