institution_id,family,n_oob_predictions,profile_1_probability,profile_2_probability
INST_024,R1_PCA85_WARD,55,1.0,0.0
INST_025,R1_PCA85_WARD,51,0.803921568627451,0.19607843137254902
INST_026,R1_PCA85_WARD,51,1.0,0.0
INST_027,R1_PCA85_WARD,42,0.0,1.0
INST_028,R1_PCA85_WARD,41,1.0,0.0
INST_029,R1_PCA85_WARD,41,0.975609756097561,0.024390243902439025
INST_030,R1_PCA85_WARD,40,1.0,0.0
INST_031,R1_PCA85_WARD,52,0.9423076923076923,0.057692307692307696
INST_032,R1_PCA85_WARD,56,1.0,0.0
INST_033,R1_PCA85_WARD,50,0.92,0.08
INST_034,R1_PCA85_WARD,50,0.0,1.0
INST_035,R1_PCA85_WARD,46,1.0,0.0
INST_036,R1_PCA85_WARD,50,0.0,1.0
INST_037,R1_PCA85_WARD,59,0.0,1.0
INST_038,R1_PCA85_WARD,48,0.9791666666666666,0.020833333333333332
INST_039,R1_PCA85_WARD,48,0.0,1.0
INST_040,R1_PCA85_WARD,53,1.0,0.0
INST_041,R1_PCA85_WARD,57,0.0,1.0
INST_042,R1_PCA85_WARD,49,0.8979591836734694,0.10204081632653061
INST_043,R1_PCA85_WARD,50,1.0,0.0
INST_044,R1_PCA85_WARD,45,1.0,0.0
INST_045,R1_PCA85_WARD,59,0.9830508474576272,0.01694915254237288
INST_046,R1_PCA85_WARD,51,1.0,0.0
INST_047,R1_PCA85_WARD,53,1.0,0.0
INST_048,R1_PCA85_WARD,56,1.0,0.0
INST_049,R1_PCA85_WARD,53,1.0,0.0
INST_050,R1_PCA85_WARD,44,0.9090909090909091,0.09090909090909091
INST_051,R1_PCA85_WARD,46,0.0,1.0
INST_052,R1_PCA85_WARD,52,0.8846153846153846,0.11538461538461539
INST_053,R1_PCA85_WARD,40,1.0,0.0
INST_054,R1_PCA85_WARD,43,0.0,1.0
INST_055,R1_PCA85_WARD,51,1.0,0.0
INST_056,R1_PCA85_WARD,48,1.0,0.0
INST_057,R1_PCA85_WARD,58,1.0,0.0
INST_058,R1_PCA85_WARD,49,1.0,0.0
INST_059,R1_PCA85_WARD,42,1.0,0.0
INST_060,R1_PCA85_WARD,45,1.0,0.0
INST_061,R1_PCA85_WARD,47,1.0,0.0
INST_062,R1_PCA85_WARD,49,0.9795918367346939,0.02040816326530612
INST_063,R1_PCA85_WARD,61,0.9672131147540983,0.03278688524590164
INST_064,R1_PCA85_WARD,57,0.7719298245614035,0.22807017543859648
INST_065,R1_PCA85_WARD,51,0.0,1.0
